"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5"
"voto";-35,265;-19,924;-43,583;-15,342;325,093
"apresentar";0,003;-8,4;-27,273;36,743;3,646
"autor";-5,472;-13,362;6,788;-46,237;66,221
"interpretacao";-16,056;-7,424;-1,962;-49,758;165,72
"possibilidade";-5,732;-3,494;88,212;-9,959;-9,319
"exercicio";17,206;80,139;-2,861;-37,366;-9,487
"distrito_federal";3,815;1,569;-62,156;8,624;6,736
"requerer";3,324;5,269;-86,609;-1,681;49,536
"existencia";-27,582;-4,362;275,997;-47,647;-19,051
"razao";-3,537;-14,95;7,812;0,041;2,388
"brasil";-5,314;-1,64;-93,209;430,803;-38,102
"tender";-0,719;-0,358;3,402;-7,311;2,971
"recursal";-53,183;-52,046;617,562;-79,382;-25,826
"seguranca";-0,513;38,46;-2,476;7,313;-25,672
"resolucao";14,255;-9,099;-9,502;-15,394;34,068
"exame";-18,852;-21,872;32,58;0,57;0,595
"reconhecer";-15,16;-0,324;-8,524;-0,852;51,46
"possivel";-15,081;0,252;50,913;-0,004;-17,987
"servico";220,701;-0,143;-53,162;21,415;-70,36
"inicial";-4,063;-12,107;-0,886;-0,356;32,626
"materia";-6,718;-1,579;-1,812;-26,824;79,463
"descumprimento";-27,1;-31,035;278,815;-71,943;-0,164
"acordao";-17,702;-24,989;-7,949;-50,054;261,939
"presidente_da_republica";0,042;18,102;-41,607;0,388;5,352
"pedir";-6,039;-8,547;-41,527;-0,002;110,589
"imediato";-21,568;-31,812;277,79;-8,383;-32,685
"relevante";-37,28;-22,014;475,391;-27,027;-68,397
"observar";2,593;0,022;-5,788;4,604;-0,874
"direto";-11,838;-13,145;69,398;-41,638;9,501
"carater";-13,08;-1,027;127,298;-14,844;-15,817
"registro";61,114;-23,626;-69,228;1,718;20,68
"celso_de_mello";-28,647;-14,917;341,822;-41,779;-26,443
"ricardo_lewandowski";-24,535;-13,302;27,406;-7,53;16,204
"legal";2,008;5,571;1,736;-26,914;0,145
"dispositivo";0,775;0,023;-0,102;-25,844;16,08
"presidente";0;-0,679;-45,425;-18,273;120,854
"atividade";87,778;51,172;-68,816;16,331;-69,89
"iv";21,499;23,288;-0,657;-16,443;-8,856
"vista";-0,123;-0,93;19,267;-18,46;0,291
"vacina";-42,847;-33,501;-100,789;1142,086;-111,328
"eleicao";-24,517;-23,769;-83,556;-52,566;529,252
"abstrato";-49,464;-41,69;473,261;-69,94;-11,085
"vez";-0,092;-0,172;-0,727;4,206;-0,183
"partido";-0,393;-13,943;-38,568;-16,278;169,222
"agravo";-43,521;-36,175;124,93;-18,742;7,519
"natureza";-4,681;-5,416;104,633;-36,575;-1,289
"apto";-48,588;-43,049;665,105;-63,951;-57,217
"pandemia";-23,559;-8,084;-66,092;651,77;-75,445
"afirmar";2,812;1,224;-0,102;-0,346;-1,789
"expor";-20,237;-2,592;-6,283;-7,273;92,543
"ato_normativo";-8,611;-22,108;299,199;-60,573;-16,544
"ponto";1,543;0,003;-5,921;4,958;-0,384
"alegado";-5,618;-15,96;140,956;-24,883;-4,993
"alar";10,106;7,775;-14,815;14,321;-18,009
"acesso";-4,343;1,937;-1,155;123,141;-67,548
"entendimento";-30,146;-15,96;9,414;-10,856;53,592
"dispor";51,261;-0,175;0,003;-11,039;-5,875
"aplicacao";-0,353;-21,806;20,933;-2,335;0,894
"alexandre_de_moraes";-24,954;-10,837;13,674;-38,014;69,226
"risco";-0,633;-0,066;-67,655;346,31;-58,4
"stf";-23,013;-1,777;36,035;-3,081;0,246
"decorrente";-4,283;-0,016;4,182;9,456;-8,99
"sede";-22,31;-16,78;108,812;-40,09;5,268
"proferido";-38,932;-29,948;2,305;-30,583;157,324
"mau";0,98;14,955;-9,372;0,793;-2,413
"eficacia";0,981;-12,103;-1,215;0,698;4,982
"encontrar";-6,57;2,488;4,904;0,622;-4,233
"exigir";-0,355;3,733;11,853;4,357;-38,823
"fato";-0,262;10,378;-1,419;-14,461;6,051
"apontar";-3,667;-1,954;29,685;-10,324;0,012
"admitir";-22,466;-24,896;303,409;-44,279;-12,557
"ofensa";-5,901;-7,073;111,051;-49,82;-0,006
"perda";-30,399;-29,687;-62,389;-53,059;515,547
"constitucionalidade";-30,231;-29,529;202,211;-50,555;0,854
"ocorrer";0,515;-2,594;-29,457;3,518;18,592
"utilizar";0,333;-9,657;134,397;-2,564;-63,48
"interesse";-10,991;-5,279;50,153;-16,861;1,213
"condicao";47,494;-5,56;-12,828;-0,025;0,001
"caber";-1,697;2,183;55,263;-22,82;-9,837
"adequado";-7,316;-4,861;34,992;-0,816;-1,326
"fl";0,747;12,436;-51,078;-18,797;55,23
"adotar";0,273;10,823;-41,275;19,968;-0,395
"utilizacao";-6,314;-14,61;293,987;-30,911;-47,6
"monocratico";-17,74;-20,806;4,707;-16,626;69,241
"apo";22,539;-13,151;-72,761;0,011;53,124
"face";-9,136;-15,886;0,925;-22,604;76,068
"ementa";-22,407;-22,011;70,65;-26,147;13,394
"principio";-0,273;143,815;-19,604;-19,519;-0,326
"formular";-21,29;-14,476;-22,475;-0,45;138,889
"realizar";26,839;-0,556;-43,151;31,164;-4,158
"procedimento";-0,763;29,62;-44,124;33,646;-4,635
"populacao";-9,25;-0,029;-86,387;566,391;-90,18
"paragrafar";65,646;-4,009;15,883;-36,003;-11,645
"entender";-13,714;-0,698;9,828;-6,702;7,795
"realizacao";60,505;0,689;-36,046;15,49;-19,262
"evidenciar";-13,523;0,563;1,535;59,28;-32,7
"sanitario";-23,376;-3,838;-74,645;649,041;-78,061
"local";1,882;0,006;0,868;21,031;-37,436
"economico";78,272;34,677;-39,017;0,124;-32,572
"defesa";16,859;95,79;-3,023;-9,331;-40,381
"brasilia";-30,01;-23,724;-81,955;-22,946;447,299
"seguimento";-38,132;-37,739;3,953;-42,563;180,364
"individual";-0,193;1,75;103,094;-7,48;-66,651
"liminar";-7,105;-9,957;-64,057;-15,654;251,265
"sustentar";7,998;4,627;-27,884;-3,095;8,045
"manifestacao";-0,014;5,287;-36,352;-7,592;44,314
"impugnacao";-31,886;-31,525;111,294;-32,004;12,087
"base";0,698;-0,095;-21,399;5,766;3,872
"legislativo";3,933;13,67;-2,454;-36,707;6,232
"arts";22,113;-0,007;-8,255;-20,206;9,933
"relatoria";-23,426;-11,05;69,877;-15,038;2,694
"atuacao";-2,489;159,164;-25,755;1,994;-22,625
"conhecido";-30,52;-24,186;21,457;-20,112;57,525
"conferir";-2,416;-0,008;0,425;-20,257;21,609
"representacao";-9,346;-6,764;-4,69;-37,525;142,905
"eventual";-7,589;-2,299;20,355;-0,676;-0,117
"texto";-2,072;0,605;120,295;-27,305;-30,743
"dias_toffoli";-20,667;-14,974;7,424;-16,428;56,075
"regra";-0,757;9,174;32,509;-25,661;-7,411
"ente";7,6;63,186;-42,541;22,973;-37,992
"cargo";14,001;-23,609;-63,808;-42,816;207,205
"edoc";-3,676;4,817;-51,473;-26,309;129,431
"relatorio";-4,181;-9,489;-43,874;-10,684;178,144
"necessidade";-0,265;19,134;-4,618;4,682;-7,72
"mc";-10,795;0,012;0,048;16,016;-1,585
"diverso";-1,777;3,039;-3,11;7,557;-1,012
"acordo";66,235;-1,209;0,098;-0,921;-25,184
"preceito";-5,752;-1,626;60,707;-21,147;-0,44
"legitimidade";-17,09;-16,747;7,949;-38,865;84,208
"contexto";-4,882;-7,165;17,117;39,092;-33,477
"uso";-0,307;-0,171;1,111;67,492;-57,145
"criterio";21,691;-0,377;-1,505;9,061;-21,767
"tecnica";4,044;-2,029;-56,117;217,743;-39,113
"politica";-3,86;188,765;-14,093;0,044;-30,69
"respectivo";7,571;1,9;-28,223;18,78;-3,534
"pleno";-10,1;2,192;40,18;-10,528;-3,806
"permitir";4,17;5,958;-1,021;0,003;-6,473
"edson_fachin";-22,549;-18,854;21,668;-20,918;43,394
"praticar";-6,737;14,898;-18,383;-3,734;24,761
"pai";-0,001;0,247;-59,631;235,511;-41,191
"gilmar_mendes";-24,949;-9,865;54,371;-33,189;18,102
"capaz";-25,233;-26,76;469,963;-41,067;-57,128
"veicular";118,868;0,171;-12,254;-27,9;-0,641
"revelar";-32,944;-1,37;116,723;-8,126;-6,788
"observancia";-8,032;-0,294;89,852;-6,78;-18,501
"especificar";0,333;-2,168;8,213;-1,391;-1,156
"demonstrar";-1,763;-0,675;28,455;-3,958;-3,129
"decidir";-13,021;-8,735;-17,568;-17,869;167,871
"respeito";-4,237;26,802;-0,082;0,582;-7,606
"suprema_corte";-15,515;-2,876;26,814;-1,914;0,33
"amplo";-20,645;-2,496;193,734;-8,527;-38,603
"regulamentar";135,149;5,057;-0,083;-43,795;-22,423
"dezembro";42,605;-10,781;-31,124;-0,123;9,894
"carmen_lucia";-19,058;-17,736;20,516;-30,511;51,125
"advogado_geral_da_uniao";0,135;-14,075;-23,289;-14,425;114,006
"omissao";-12,31;-1,557;-0,164;3,937;5,565
"peticao_inicial";-26,609;-8,466;31,968;-32,532;34,039
"data";49,679;-20,187;-40,417;3,482;6,056
"verificar";-5,442;-7,034;34,975;-4,074;-0,012
"suspensao";3,161;-18,053;-50,014;0,715;64,417
"ordinario";-14,765;-23,139;88,673;-49,179;14,03
"codigo";3,281;-1,782;-38,856;-37,412;123,48
"conhecer";-25,634;-25,797;5,353;-38,992;124,769
"alegar";14,559;0,378;-18,439;-3,187;5,288
"maior";4,314;1,562;-19,56;59,404;-26,118
"autorizar";21,915;-3,087;-0,165;0,826;-7,529
"educacao";-2,318;41,393;-55,117;112,075;-34,628
"tese";-22,328;-8,224;14,645;-21,121;39,23
"subjetivo";-31,566;-25,123;402,984;-44,386;-29,391
"pretensao";-9,231;-6,637;30,2;-25,399;12,074
"ms";164,85;-20,679;-34,84;13,939;-17,283
"mecanismo";-9,38;-5,678;263,15;-17,215;-62,749
"b";46,103;-0,241;-26,261;-0,034;0,04
"ativo";-3,897;-7,815;4,612;-24,754;36,22
"prestar";13,651;-0,898;-0,061;-5,403;0,015
"pressuposto";-24,954;-17,253;264,153;-45,243;-7,744
"internacional";-9,803;74,763;-24,308;51,444;-32,819
"contar";80,741;2,009;-34,264;4,923;-19,497
"assentar";-22,755;-0,625;37,245;-6,578;0,459
"manifestar";-3,7;-1,51;-25,468;-13,742;113,97
"atender";0;0,583;66,637;-14,123;-27,518
"liberdade";-14,77;364,238;-47,158;-8,096;-5,871
"justica";-3,664;81,806;-2,278;-36,473;1,902
"determinado";1,588;77,187;-25,244;0,204;-10,514
"impedir";-5,079;-0,108;17,146;-1,697;-0,744
"inobservancia";-20,517;-16,851;160,838;-22,073;-2,243
"inelegibilidade";-25,218;-21,295;-57,613;-40,057;421,439
"funcao";22,87;3,458;1,439;-32,834;-1,657
"ajuizado";-13,593;-22,277;6,02;-29,235;79,76
"tribunal_de_justica";-18,068;-24,194;58,395;-38,882;26,988
"destacar";2,685;-2,494;7,49;0,172;-9,713
"prefeito";-1,478;-16,186;0,015;-20,223;62,709
"arguente";-11,253;-12,582;9,526;-22,257;42,745
"justificar";-12,875;-0,903;37,828;-1,596;-1,771
"exigencia";0,099;-0,667;-2,316;62,699;-26,555
"cabivel";-29,164;-20,861;219,283;-33,303;-2,502
"diretor";30,403;1,149;-33,326;32,8;-21,211
"programa";36,179;12,525;-51,04;57,478;-51,873
"limite";123,632;3,899;-14,525;-12,213;-11,925
"grifar";-16,614;-3,619;7,352;48,298;-17,117
"existir";-2,677;-5,179;60,502;0;-20,952
"constituir";-3,264;25,287;1,785;-11,332;-0,586
"afastar";-16,174;-2,782;30,289;-26,365;13,152
"regional";-11,385;-3,24;-32,177;-18,079;178,274
"mencionar";10,893;2,098;-4,382;-1,124;-0,531
"instituicao";37,663;40,81;-29,571;11,082;-54,554
"empresa";417,702;-7,683;-24,253;-12,044;-36,895
"lei_complementar";71,904;-19,139;-33,802;-26,529;48,071
"proposta";-0,001;-6,531;-3,682;-20,926;62,771
"alteracao";25,631;-5,009;-54,077;-6,037;50,355
"transitar";17,413;-7,806;-0,025;-32,592;16,649
"roberto_barroso";-9,384;-8,583;4,675;0,009;6,108
"declarar";-6,576;-0,007;-29,214;-8,81;99,901
"senhor";-13,264;-17,353;-17,336;-8,494;161,867
"militar";83,658;66,791;-36,883;-25,611;-9,421
"legislacao";6,854;11,733;14,069;-23,367;-16,598
"disponivel";-9,21;-20,548;2,142;187,067;-58,979
"governo_federal";-13,629;0,046;-39,179;308,008;-44,958
"declaracao";-0,077;-1,119;-25,357;-22,915;103,928
"tutela";-4,417;-4,306;22,133;-0,361;-0,658
"supremo";-11,978;-9,103;29,894;-24,346;16,649
"contrariar";-0,757;-0,13;0,03;4,494;-1,182
"civil";5,532;36,513;-16,757;-13,195;0,517
"vida";-13,689;48,728;-54,641;174,218;-48,143
"mandar";-11,732;-2,464;53,661;-16,841;0,15
"inexistencia";-25,389;-10,912;181,792;-25,04;-4,947
"financeiro";280,369;1,42;-42,449;-1,658;-43,508
"entidade";5,712;8,838;-11,285;5,676;-8,998
"tema";-5,853;0,51;4,843;-2,292;0,301
"material";-8,063;62,453;14,458;-12,632;-19,407
"legitimar";-19,881;-6,023;74,443;-16,24;0,296
"evento";-17,628;-8,194;-46,819;446,487;-42,817
"incluir";0,015;-0,855;1,079;39,357;-35,56
"constituicao_da_republica";-4,851;-3,804;30,5;-35,329;9,672
"superveniente";-27,959;-28,37;-31,118;-31,619;349,491
"pagamento";272,779;-11,443;-12,171;-1,305;-35,794
"possuir";-0,734;-2,077;8,61;-0,327;-0,331
"imunizacao";-24,877;-15,291;-59,599;629,526;-60,375
"sessao";-3,278;-20,453;-32,021;-12,583;184,318
"previsao";-0,439;11,653;-0,087;0,899;-7,055
"sp";-1,076;0,002;0,001;-3,788;6,183
"prejudicar";-14,558;-16,474;-22,878;-14,9;202,226
"promover";15,574;27,6;-32,263;9,514;-18,795
"partir";44,529;-0,253;-15,689;0,322;-2,256
"membro";-6,093;-2,368;-12,585;-12,869;95,509
"anterior";-0,332;-17,581;40,795;-2,364;-1,431
"acercar";-4,819;1,536;-0,041;8,656;-2,675
"sao_paulo";-5,844;5,407;-1,321;0,171;0,758
"mostrar";-12,771;-9,82;135,974;-3,489;-20,331
"momento";-2,945;-2,814;-1,474;30,537;-1,149
"indicar";-1,155;1,117;-4,165;0,483;1,99
"ensino";-12,315;62,453;-23,4;94,694;-52,103
"pena";-5,158;69,967;1,181;-12,028;-6,928
"luiz_fux";-16,401;-13,124;2,234;-23,438;77,582
"causar";-7,228;-9,82;27,441;1,166;-2,393
"rosa_weber";-10,915;-16,165;2,64;-19,911;65,019
"fundamental";-22,579;53,367;1,679;-1,999;-3,569
"especie";-3,348;-8,581;48,396;-27,371;2,364
"disposto";75,905;-8,194;-0,549;-4,831;-3,945
"atendimento";1,008;-0,489;5,199;7,598;-24,244
"politicar";-20,216;123,168;-13,66;-14,152;3,801
"juizo";-15,996;17,492;7,11;-8,36;-0,012
"concessao";23,58;-3,916;-16,513;-6,484;15,407
"instituto";3,43;-0,14;0,726;-0,578;-1,765
"firmar";-3,157;-7,063;16,377;-0,426;0,005
"execucao";20,62;19,922;-20,412;-7,057;-0,058
"sucedaneo";-26,241;-26,756;373,724;-40,809;-27,103
"ficar";51,181;-2,969;-23,702;0,325;-0,003
"evitar";-9,662;0,088;30,011;0,529;-14,255
"cumprimento";44,529;5,838;-20,174;-5,544;-0,408
"aplicar";3,024;-3,715;-14,519;-0,058;16,392
"ressaltar";-1,408;8,148;-2,862;2,833;-1,213
"jurisdicional";-13,62;-5,451;97,869;-32,408;0,007
"submeter";-0,067;3,528;13,464;-13,271;-2,545
"governo";-1,1;26,947;-28,546;61,535;-24,042
"violar";-3,348;8,664;23,254;-21,565;-2,005
"exercer";4,658;19,111;-0,275;-11,075;-2,556
"controle_de_constitucionalidade";-18,078;-2,387;131,401;-25,148;-4,901
"revogar";22,831;-15,163;-1,193;-28,138;25,026
"prova";-3,588;-1,383;0,033;53,587;-18,243
"impossibilidade";-15,996;-14,496;47,922;-20,45;11,061
"estatal";-4,455;5,671;21,533;-5,857;-6,535
"enem";-16,054;-10,998;-38,863;419,391;-40,481
"nota";-0,695;-19,406;-34,36;242,863;-16,38
"maneira";-10,962;1,271;50,518;-4,309;-11,302
"destinar";6,298;1,438;11,134;-4,039;-19,145
"controle_concentrado";-22,489;-25,306;307,435;-31,436;-20,715
"coletivo";2,259;30,65;10,729;-8,043;-37,536
"razoar";-9,209;0,926;-0,041;-10,503;22,275
"mero";-14,054;-2,775;84,997;-18,426;-0,933
"contrato";363,401;-19,653;-18,749;-2,782;-34,725
"area";114,959;11,376;-19,945;0,291;-51,165
"editar";55,873;-1,249;-5,833;-6,328;-0,191
"demanda";2,519;-1,778;-6,183;0;4,826
"pleito";-13,309;-11,854;-17,345;-8,066;146,575
"diploma";1,835;-14,193;-0,33;-23,835;45,167
"deferir";-5,244;-7,701;-39,608;11,737;49,664
"cientificar";-7,725;0,996;-33,178;260,373;-52,701
"crianca";-19,601;-6,428;-48,807;488,804;-53,91
"solucao";3,43;-0,706;86,203;-17,583;-37,981
"proc";-1,008;-0,944;-0,241;-1,44;9,492
"organizacao";0,138;41,347;-40,972;60,087;-34,328
"secretaria";85,537;0,065;-30,388;3,295;-13,714
"regimento_interno";-13,896;-16,031;-35,701;-32,521;285,852
"quadro";17,029;-1,359;-18,48;1,14;0,81
"prejuizo";8,092;3,221;-17,758;-0,006;0,317
"postulado";-21,639;-6,682;210,561;-23,835;-17,586
"peticao";-15,41;-4,067;-40,675;9,95;65,201
"manter";8,119;-0,477;-30,861;2,023;6,014
"so";-1,339;0,082;36,127;-2,449;-14,381
"pretender";-7,59;-3,323;17,667;-0,496;0,008
"configurar";-6,619;14,443;16,66;-21,874;-0,544
"levar";0,734;0,478;-17,195;54,234;-13,584
"busca";-0,071;5,881;1,627;-14,989;0,283
"admissibilidade";-23,841;-16,031;339,357;-37,37;-31,909
"tribunal_superior_eleitoral";-14,377;-20,934;-30,861;-30,571;283,356
"territorio";3,991;8,202;-13,672;21,433;-18,226
"assegurar";3,444;105,08;-25,127;2,987;-35,786
"grave";-1,929;14,783;-21,52;65,755;-20,45
"cumprir";0,002;3,272;3,848;-0,136;-9,073
"controle_concentrado_de_constitucionalidade";-19,911;-18,534;131,103;-24,666;0,002
"essencial";-14,7;16,585;25,217;-0,304;-20,515
"definir";11,418;0,149;-2,927;11,029;-17,905
"congresso_nacional";0,002;-0,238;-18,008;-16,884;66,058
"causa";-16,892;-7,443;-4,361;-14,032;114,396
"preliminar";-0,055;-6,932;-1,819;-11,714;43,049
"poder_judiciario";-2,401;42,682;-10,198;-13,839;6,826
"representar";0,595;20,75;-6,556;0,867;-5,934
"publico";24,51;43,205;-15,089;0,567;-33,96
"fixar";15,527;-0,072;-23,568;-10,702;22,527
"final";3,199;-4,665;-32,226;0,577;26,261
"exemplo";-2,588;-0,39;11,991;8,916;-18,339
"taxa";84,64;-17,185;-44,055;95,049;-38,648
"improcedencia";-8,908;-0,66;-29,543;-27,319;166,872
"garantia";-11,233;252,23;-20,186;-4,271;-11,262
"envolver";-2,652;1,094;4,618;-0,417;-1,1
"alegacao";-1,693;0,442;0,59;-13,927;9,436
"redacao";112,982;-14,23;-39,394;-18,258;19,808
"doer";3,35;-2,659;-6,143;11,712;-0,641
"superior";10,546;14,775;-13,826;-0,014;-3,154
"relacionar";-0,936;18,117;-24,523;57,409;-19,3
