"";"classe 1";"classe 2";"classe 3";"classe 4"
"modo";0;0;0,006;0
"interpretacao";0,001;0;0;0
"controlo";0,607;0,596;0;0,001
"normativo";0;0,612;0,989;0
"caput";0;0;0;0
"liberdade";0;0;0;0
"praticar";0;0;0,465;0
"protecao";0;0;0;0
"social";0;0;0,161;0
"atividade";0;0;0;0
"medida_cautelar";0;0;0;0
"corte";0;0,414;0;0
"ordem";0;0;0,73;0,017
"meio_ambiente";0;0;0;0
"rel";0;0;0;0
"presidente_da_republica";0;0;0;0
"constituicao_federal";0;0;0,093;0
"orcamentar";0;0;0;0
"materia";0;0;0;0
"transporte";0;0;0;0
"necessario";0;0,132;0;0,057
"eleitoral";0,007;0;0,025;0
"vez";0,605;0;0;0,077
"regra";0;0;0,002;0
"objeto";0;0;0,061;0
"municipal";0;0;0;0
"possibilidade";0,002;0;0;0
"realizar";0;0,1;0;0,032
"unico";0;0;0,916;0
"congresso_nacional";0,64;0;0;0
"apresentar";0;0;0;0
"principio";0;0;0,517;0,443
"ambiental";0;0;0;0
"objectivo";0;0;0;0,07
"merito";0;0;0;0
"inciso";0;0;0;0
"administrativo";0;0;0;0,001
"seguinte";0,015;0,056;0,179;0
"parecer";0,001;0;0;0
"analisar";0;0,003;0;0,019
"situacao";0;0,029;0;0,165
"possivel";0,014;0;0,003;0,918
"comissao";0;0;0;0
"cargo";0;0;0;0
"auto";0;0;0,002;0
"distrito_federal";0;0,002;0,171;0
"crime";0;0;0;0
"orcamento";0;0;0;0
"reconhecer";0;0,245;0;0,36
"execucao";0;0;0;0
"inconstitucionalidade";0;0;0;0
"funcao";0;0;0;0
"legal";0;0;0;0
"camara_dos_deputados";0;0;0,013;0
"membro";0;0;0;0
"permitir";0;0;0,012;0,904
"estadual";0;0;0,837;0
"procedimento";0;0;0;0
"brasil";0;0;0;0
"parlamentar";0;0;0;0
"ministerio";0;0;0,001;0
"hipotese";0;0;0;0
"prazo";0;0;0,874;0
"impugnar";0;0;0;0
"fato";0,047;0,044;0,042;0,007
"ambito";0;0;0,442;0,005
"observar";0;0;0;0,301
"servico";0;0;0;0
"entender";0;0;0;0
"ano";0;0,802;0,36;0
"intdo";0;0,084;0,224;0,366
"covid";0;0;0;0
"democratico";0;0;0;0
"casa";0;0;0,644;0
"arguicao";0;0;0;0
"doer";0;0;0,859;0
"dispositivo";0;0;0;0
"vida";0;0;0;0
"adotar";0,011;0,491;0,022;0,087
"portaria";0;0;0,001;0,697
"df";0;0;0;0
"alar";0;0,02;0;0
"conferir";0,507;0;0,342;0
"dje";0;0;0;0
"limite";0;0;0,99;0,819
"ponto";0;0,786;0;0
"acesso";0;0;0;0
"individual";0;0;0;0,464
"necessidade";0,031;0,941;0,182;0,003
"condicao";0,115;0,545;0;0
"maior";0;0,135;0,014;0
"projeto";0,023;0;0;0
"ocorrer";0;0;0,327;0
"despesa";0;0;0;0
"pedir";0;0;0,333;0
"tese";0,007;0;0;0
"especial";0;0;0,11;0
"assegurar";0;0,032;0;0
"senado_federal";0;0;0,449;0
"razao";0;0,459;0,031;0,027
"afirmar";0,18;0,104;0;0,495
"penal";0;0;0;0
"interesse";0,831;0,217;0,517;0,504
"iv";0;0,073;0,096;0
"determinar";0;0,23;0;0
"precedente";0;0,09;0;0
"vista";0;0;0;0
"especificar";0,525;0;0,001;0
"manifestacao";0;0;0;0,677
"aplicacao";0,716;0;0;0
"autorizar";0,001;0;0,427;0
"processual";0;0;0;0
"arts";0,015;0;0;0
"respeito";0,003;0,778;0,002;0
"regime";0;0,063;0;0,007
"texto";0;0;0;0
"poder_executivo";0;0;0;0
"defesa";0;0;0;0
"tribunal_pleno";0;0;0;0
"judicial";0,002;0;0,01;0
"base";0,003;0,321;0;0,428
"direto";0;0,002;0;0
"partido";0;0;0;0
"apo";0;0,518;0;0
"assembleia_legislativa";0,005;0;0,003;0
"criterio";0;0,115;0;0,878
"sao_paulo";0,03;0;0;0
"gilmar_mendes";0;0;0;0
"seguranca";0,006;0;0;0
"jurisprudencia";0;0,062;0;0
"eminente";0;0;0,001;0
"conhecimento";0;0;0;0
"requisito";0;0;0;0
"partir";0;0,004;0,028;0,471
"so";0;0;0;0,629
"autor";0;0;0;0
"contar";0,202;0,096;0;0
"uso";0;0;0,007;0
"tender";0;0;0;0
"ministerio_publico";0;0;0;0
"governador";0,092;0;0,054;0
"participacao";0,446;0,031;0,451;0,013
"poder_publico";0;0;0,021;0,003
"legislacao";0,002;0;0;0,423
"carater";0;0,005;0,663;0,11
"tema";0;0,049;0;0
"rp";0;0;0;0
"risco";0;0;0,002;0
"respectivo";0;0;0;0
"caber";0;0;0,268;0
"acompanhar";0;0;0,001;0
"exercer";0;0;0;0,032
"justica";0,926;0,708;0;0
"diverso";0,103;0,022;0,855;0,357
"garantia";0;0;0,001;0
"sessao";0;0,038;0;0
"politicar";0;0;0,016;0,011
"aplicar";0;0;0;0
"mulher";0;0;0;0
"violacao";0;0,023;0;0,002
"atuacao";0;0;0,787;0
"ficar";0,006;0;0,755;0,028
"autoridade";0;0;0;0,068
"requerente";0;0;0,939;0
"natureza";0,519;0,011;0,617;0
"fundamento";0;0,049;0;0
"stf";0;0,012;0;0
"dispor";0,007;0;0;0
"decorrente";0;0;0;0
"referido";0,482;0;0,001;0
"pai";0;0;0;0
"declarar";0;0,061;0,001;0
"instituicao";0;0,876;0,018;0
"exigir";0,018;0,074;0,004;0
"admitir";0;0,023;0;0
"transparencia";0;0;0;0
"restricao";0;0;0;0
"destinar";0;0;0;0,022
"cautelar";0;0;0,096;0
"registro";0,074;0;0,125;0
"determinado";0;0,461;0,035;0,075
"coletivo";0;0;0,007;0
"importante";0,002;0,037;0,124;0
"concessao";0;0,172;0;0
"instrumento";0,14;0,049;0;0
"garantir";0;0;0;0
"momento";0,116;0,129;0;0,775
"finalidade";0;0,112;0;0,006
"responsabilidade";0;0;0,049;0
"definir";0;0,001;0;0,27
"constituir";0;0,015;0,43;0,001
"veto";0;0;0;0
"manter";0,003;0,562;0;0,391
"votacao";0;0;0;0
"area";0;0;0,001;0
"realizacao";0;0,009;0,148;0,005
"educacao";0;0;0;0,002
"relatorio";0;0;0,001;0,027
"pena";0;0;0;0
"institucional";0;0;0,083;0,002
"local";0;0,044;0,025;0
"ausencia";0;0,006;0,14;0
"contrariar";0;0;0,001;0,006
"carmen_lucia";0;0;0;0
"ente";0;0;0;0
"acordao";0;0;0,269;0
"sociedade";0;0;0;0
"republicano";0;0;0;0
"acordo";0;0,748;0;0
"formular";0;0;0,012;0
"expor";0;0;0;0
"financeiro";0;0;0;0
"editar";0,683;0;0,054;0
"redacao";0;0;0,87;0
"democracia";0;0,143;0;0
"camar";0;0;0;0
"chefe";0;0;0,074;0
"fundamental";0;0,79;0,005;0
"publico";0;0,2;0;0
"passar";0,001;0,41;0;0,592
"proc";0;0,016;0,298;0,027
"eficacia";0;0;0;0
"senado";0;0;0;0
"conjunto";0,521;0;0;0,2
"alexandre_de_moraes";0;0;0;0
"proposta";0;0;0;0
"poder_judiciario";0;0;0;0
"entendimento";0;0;0;0
"publicidade";0;0,14;0;0
"fundo";0,127;0;0;0
"conceder";0;0,01;0;0
"impeachment";0;0;0;0
"deferir";0;0;0,149;0
"inquerito";0;0;0;0
"destacar";0,251;0;0,056;0
"controversia";0;0;0;0
"anterior";0;0,005;0,001;0
"minimo";0,001;0,928;0;0,73
"desenvolvimento";0;0;0;0
"curiae";0;0,017;0,209;0,617
"am";0;0,084;0,224;0,01
"vacinacao";0;0;0;0
"paragrafar";0;0;0,928;0
"dias_toffoli";0;0,001;0;0
"impor";0;0,969;0,003;0
"amplo";0,906;0,003;0;0
"republicar";0;0;0,12;0,005
"deixar";0,97;0;0,007;0,03
"supremo";0;0;0;0
"executivo";0;0;0;0
"doc";0;0;0,099;0
"codigo";0,002;0;0;0
"requerer";0;0;0,035;0
"governo";0;0;0,001;0
"relevante";0;0,796;0,001;0
"cidadao";0;0;0,026;0
"conselho";0;0,099;0;0,006
"eventual";0,324;0;0,42;0
"tecnica";0;0;0;0
"marco";0;0,006;0;0
"legitimar";0,064;0;0;0,002
"juizo";0,961;0;0;0
"entidade";0,002;0,19;0;0,049
"procedente";0;0;0;0
"encontrar";0,568;0,603;0,009;0,007
"diretor";0;0,538;0;0,017
"indulto";0;0;0;0
"luis_roberto_barroso";0;0,381;0;0
"livre";0;0;0;0
"alteracao";0,253;0;0,224;0,007
"eleitor";0;0,009;0,083;0,011
"impedir";0;0;0;0,03
"economico";0;0;0,002;0
"apontar";0,014;0,848;0,382;0,047
"conama";0,847;0;0;0
"utilizar";0;0,055;0;0,042
"investigacao";0;0;0;0
"deliberacao";0,001;0;0;0
"existencia";0;0,447;0;0,001
"pandemia";0;0;0;0
"concreto";0;0,009;0;0
"referir";0;0;0,017;0,39
"promover";0;0,263;0,153;0
"exemplo";0;0;0,026;0,065
"civil";0,077;0,012;0,001;0
"populacao";0;0;0;0
"exame";0;0;0,01;0
"constituicao_da_republica";0,754;0;0;0
"manifestar";0;0;0;0
"advogado_geral_da_uniao";0;0;0,032;0
"submeter";0,693;0,002;0,239;0
"ed";0,55;0;0;0
"documento";0,138;0;0;0,139
"acao_direta_de_inconstitucionalidade";0;0;0;0
"trazer";0;0;0,223;0
"direitos_fundamentais";0;0;0;0
"rosa_weber";0;0;0,065;0
"estatal";0;0,007;0,027;0
"exigencia";0,856;0,356;0;0
"declaracao";0;0;0;0,092
"verificar";0,001;0,484;0,205;0
"final";0;0,108;0;0
"contexto";0,006;0,149;0,009;0
"resultado";0;0;0;0
"preceito_fundamental";0;0;0;0
"pleno";0;0,002;0;0,685
"mesa";0;0;0,455;0
"constitucionalidade";0;0;0;0
"essencial";0;0;0,048;0
"descumprimento";0;0;0,789;0
"edson_fachin";0;0;0;0
"material";0,935;0,211;0,104;0,027
"subsidiariedade";0;0;0;0
"religioso";0;0;0;0
"data";0;0,008;0;0
"ricardo_lewandowski";0;0;0;0
"procurador_geral";0;0,702;0,026;0
"numerar";0;0,888;0;0
"suprema_corte";0;0,2;0;0,017
"previsao";0;0;0;0
"linha";0,45;0,44;0,002;0,072
"representacao";0;0;0;0
"adequado";0;0,004;0,001;0,327
"inicial";0;0,003;0,431;0
"cumprimento";0;0;0;0
"instituto";0,244;0;0;0,131
"publicacao";0;0,001;0,882;0
"demonstrar";0;0;0,014;0,165
"atender";0,915;0,001;0;0,001
"produto";0;0;0;0
"marco_aurelio";0;0,31;0;0
"iniciar";0;0,269;0,004;0
"regimento_interno";0,001;0;0;0
"proteger";0;0;0;0
"parametro";0,45;0,046;0,467;0,001
"preservacao";0;0;0;0
"preliminar";0;0;0;0
"administracao_publica";0;0;0,015;0
"preceito";0,954;0;0;0
"relativo";0,008;0,001;0;0,048
"suspensao";0;0,163;0;0
"plano";0;0;0;0,073
"fixar";0;0;0,068;0
"causa";0,602;0;0;0,017
"prejuizo";0;0,107;0;0
"tornar";0,004;0,756;0;0,38
"poder_legislativo";0;0;0,334;0
"privado";0;0;0;0
"funcionamento";0;0;0,701;0,89
"representar";0;0,076;0;0,306
"edoc";0;0;0;0,001
"titular";0;0;0;0,039
"mandato";0;0;0;0
"autorizacao";0;0;0,201;0,112
"incluir";0,003;0,001;0;0,005
"sustentar";0;0,322;0,002;0
"edicao";0;0;0,045;0
"utilizacao";0,022;0;0;0,754
"especie";0,345;0,047;0,026;0,011
"distribuicao";0;0;0;0
"atribuicao";0;0;0,371;0
"questionar";0;0,014;0,001;0
"observancia";0,001;0;0,014;0
"eletronico";0;0;0;0
"producao";0;0;0;0
"grave";0;0,003;0,006;0
"envolver";0,134;0,785;0,071;0,984
"afastar";0,001;0,032;0,291;0
"revelar";0,177;0,206;0,132;0,338
"atual";0;0,384;0,012;0
"luiz_fux";0;0;0;0
"estudo";0;0;0;0
"conhecer";0;0;0;0
"certo";0,003;0,187;0,004;0,001
"internacional";0;0;0;0
"razoar";0;0,537;0,01;0
"justificar";0,032;0,002;0;0,005
"argumento";0;0;0;0
"veicular";0;0;0;0,84
"via";0;0;0,341;0
"expressar";0;0;0;0,604
"claro";0,051;0;0,268;0
"advogado";0;0;0,441;0
"receber";0,001;0,644;0;0,798
"ultimar";0;0;0,005;0,099
"passageiro";0;0;0,001;0
"igualdade";0;0,082;0;0
"liminar";0;0;0;0
"levar";0;0,884;0,183;0
"efetivo";0,021;0;0,089;0
"vedacao";0;0;0,002;0,99
"tomar";0;0,15;0,013;0
"querer";0,443;0,493;0;0,018
"imediato";0;0;0,012;0
"dj";0;0;0;0
"falar";0,138;0,524;0,001;0,928
"item";0,011;0,012;0;0
"autonomia";0;0;0,002;0
"maneira";0,001;0,001;0,081;0,539
"disposto";0;0;0;0
"devido";0,348;0,01;0,127;0
"juiz";0;0;0;0,001
"perda";0;0;0,002;0
"juri";0;0;0;0
"celso_de_mello";0;0;0;0
"qualidade";0,754;0;0;0
"alterar";0;0,936;0,041;0
"proferido";0;0;0,349;0
"lado";0,01;0,255;0;0
"atribuir";0;0;0,008;0,019
"relacionar";0,024;0;0,041;0
"instituir";0;0,145;0,662;0,02
"registrar";0,153;0;0;0
"expressao";0;0,005;0,001;0
"defender";0,037;0,978;0;0
"legislador";0;0;0;0
"evitar";0,755;0,328;0;0
"associacao";0;0;0,009;0
"reeleicao";0;0;0;0
"indicar";0,478;0,024;0,015;0
"humano";0;0;0;0
"instauracao";0,002;0;0;0
"candidato";0;0;0;0
"preceitos_fundamentais";0;0,42;0;0
"pleito";0;0;0,002;0
"interno";0;0;0,379;0
"valer";0,21;0,068;0,006;0,309
"periodo";0;0;0,224;0,079
"lesao";0;0,004;0;0
"urbano";0,001;0;0,004;0
"natural";0;0;0;0
"ideia";0;0;0;0
"fiscalizacao";0,425;0,002;0;0,197
"face";0;0;0;0
"regulamentar";0,293;0,034;0,008;0,128
"omissao";0;0;0;0
"legitimidade";0;0,945;0;0
"vincular";0;0,043;0;0
"representante";0;0;0,015;0,009
"obrigatorio";0;0,001;0;0,002
"mencionar";0;0,069;0,902;0,001
"sede";0;0,638;0;0
"oportunidade";0,823;0;0;0
"revogar";0;0;0;0,129
"decidir";0;0,111;0;0
"conclusao";0;0,653;0,094;0
"aprovar";0;0,727;0;0
"popular";0,001;0;0,003;0
"existir";0,032;0,188;0,402;0,004
"ensino";0,387;0;0;0
"orcamentario";0;0;0;0
"denunciar";0;0;0;0
"genero";0;0;0;0
"tecnico";0,439;0;0,04;0
"prestar";0;0,004;0,833;0
"evidenciar";0;0;0,347;0
"inteligencia";0;0;0;0
"criacao";0,727;0,005;0,666;0,001
"vedar";0;0,034;0;0,739
"superior";0,436;0,879;0,237;0,88
"solucao";0,004;0,004;0;0,007
"seguranca_publica";0,027;0;0;0
"indicacao";0;0,92;0;0
"proibicao";0;0;0;0
"produzir";0,046;0,008;0,019;0
"grupo";0;0;0,103;0
"debate";0;0,366;0;0
"votar";0;0;0;0
"possuir";0;0;0,215;0,609
"concluir";0,011;0,383;0,413;0,005
"of";0;0;0;0
"nivel";0;0,155;0,735;0
"configurar";0,044;0,118;0;0,285
"the";0;0;0;0
"grande";0,007;0,003;0,058;0
"ementa";0;0;0,018;0
"cumprir";0,5;0,001;0,123;0,061
"ofensa";0;0,229;0;0,001
"formal";0,008;0,094;0,249;0
"escolha";0;0;0,003;0,795
"curso";0,021;0,473;0,12;0,016
"adocao";0;0;0,14;0
"referendo";0;0;0,688;0
"amicus_curiae";0;0;0;0
"mc";0;0;0;0
"inconstitucional";0,029;0;0,131;0
"colocar";0,006;0,362;0;0
"modelo";0;0;0;0,204
"consequencia";0;0;0,004;0,845
"vacina";0;0;0;0
"roberto_barroso";0;0;0,004;0
"fase";0,044;0;0,029;0
"voltar";0,003;0,046;0;0,593
"rio_de_janeiro";0,011;0,064;0,453;0
"revisao";0,774;0,022;0,273;0,052
"retrocesso";0;0;0;0
"motivo";0,968;0,367;0,01;0,013
"duvidar";0,136;0;0;0,004
"agente";0;0,093;0;0
"espaco";0;0,1;0,078;0
"relevancia";0;0;0;0
"legitima_defesa_da_honra";0;0;0;0,053
"deputado";0;0;0;0
"contrato";0;0,804;0,349;0
"assentar";0;0,057;0,005;0
"limitacao";0;0,003;0,062;0,053
"criar";0;0;0,007;0,047
"candidatura";0;0;0,087;0
"mostrar";0,104;0,55;0,796;0,279
"inc";0;0,285;0;0
"pessoal";0;0,766;0;0
"permanente";0;0,004;0,793;0
"carta";0;0;0;0,002
"disposicao";0;0;0,295;0
"aspecto";0;0,003;0,541;0,22
"animal";0,406;0;0;0
"identificar";0;0;0;0
"elemento";0,002;0;0,003;0,036
"atuar";0;0;0,982;0,632
"ressaltar";0,293;0,087;0,173;0,939
"procurador_geral_do_estado";0;0,054;0,407;0,078
"citar";0,549;0,019;0;0,658
"senador";0;0;0;0
"acusacao";0;0;0;0
"comum";0;0,051;0,03;0
"manutencao";0,062;0;0;0
"impossibilidade";0;0,11;0,233;0
"aberto";0,06;0;0;0,045
"presidencial";0;0;0;0
"bom";0,087;0,343;0,001;0,582
"nota";0,154;0;0,002;0
"alegacao";0;0,197;0,003;0
"abstrato";0;0;0;0
"politicas_publicas";0;0;0;0
"organizacao";0;0,26;0,07;0
"eleger";0;0;0;0
"definicao";0;0,063;0,007;0
"politico";0;0;0,008;0,027
"direito_fundamental";0;0,001;0;0
"conteudo";0,003;0;0,001;0,195
"lugar";0,011;0;0,006;0,136
"absoluto";0;0;0;0,231
"parcial";0;0;0,072;0
"achar";0,199;0,001;0;0,028
"acercar";0;0,272;0,245;0
"medidas_provisorias";0;0;0;0
"oficial";0;0;0,051;0,006
"decorrer";0;0;0,471;0
"referente";0,196;0,033;0;0
"integrar";0,015;0,368;0;0,659
"camara_municipal";0,887;0;0;0
"alegar";0;0,08;0,873;0
"compreender";0,288;0,757;0,022;0,006
"agrotoxico";0;0;0;0
"secreto";0;0;0;0
"relatoria";0;0;0,074;0
"lei_complementar";0,453;0;0;0
"revogacao";0;0;0,006;0,048
"proporcionalidade";0;0,263;0,141;0
"brasilia";0;0;0,001;0,283
"palavra";0,001;0,198;0,015;0,001
"iniciativa";0;0,54;0,748;0
"infracao";0;0;0;0,072
"discussao";0;0,118;0,014;0,001
"disciplina";0;0,02;0;0,079
"direito_constitucional";0,19;0;0;0
"procedencia";0;0,096;0;0
"partidario";0;0;0,076;0
"sp";0;0,064;0;0,002
"luz";0,009;0;0,002;0
"mesa_diretora";0;0;0;0
"demanda";0;0;0;0
"transitar";0,016;0,049;0,101;0,001
"competir";0;0;0,001;0
"apreciacao";0;0,606;0,215;0
"policial";0;0;0;0,79
"nunes_marques";0;0;0,024;0
"estabelecimento";0;0;0,001;0
"prova";0,001;0;0;0
"instaurar";0;0;0;0
"unidade";0;0,007;0,001;0
"graca";0;0;0;0
"programa";0;0;0;0
"federativo";0;0;0,798;0
"reducao";0;0;0,001;0
"providenciar";0,089;0;0;0,387
"pertinente";0,607;0,177;0;0
"ordinario";0;0;0,002;0
"obrigacao";0;0;0,055;0
"virtual";0;0;0,176;0
"homem";0;0;0;0
"programacao";0;0;0;0
"integrante";0;0;0,246;0,556
"campo";0,488;0,029;0;0,354
"empresa";0,017;0,007;0,016;0
"gestao";0;0;0;0,42
"constar";0,071;0;0;0,704
"melhor";0,041;0,691;0,009;0
"formacao";0;0;0;0,014
"particular";0;0,087;0,012;0
"tse";0;0,075;0,711;0
"responsavel";0,002;0;0,001;0
"mecanismo";0;0,004;0,164;0,795
"cabimento";0;0;0;0
"visar";0;0,858;0,042;0
"embargos_de_declaracao";0;0;0;0
"direitos_humanos";0;0;0;0
"competente";0;0;0,165;0,822
"total";0;0;0;0,821
"quadro";0,003;0;0,878;0,418
"problema";0;0,232;0,715;0
"seguranca_juridica";0;0;0;0
"seguir";0,071;0,742;0,431;0,119
"maximo";0;0,291;0,008;0
"destinacao";0;0;0;0
"conhecido";0;0;0,003;0
"liberdade_de_expressao";0;0;0;0
"legalidade";0,026;0;0,023;0
"processo_penal";0;0;0;0
"prerrogativa";0;0;0,709;0
"atingir";0,01;0,001;0,024;0
"disponivel";0;0;0,569;0
"anual";0;0;0;0
"organico";0,019;0;0;0
"jose";0,02;0,007;0,002;0
"diferente";0;0,286;0,002;0
"mudanca";0,003;0,002;0;0,001
"intervencao";0;0,781;0;0,004
"vigencia";0;0;0,191;0
"regimental";0;0;0,001;0
"ato_normativo";0;0;0,001;0
"servidor";0,002;0,67;0,001;0
"presidencia";0;0;0;0
"preservar";0;0,955;0,001;0
"posicao";0,419;0,003;0,001;0,066
"ms";0;0,011;0,001;0,006
"interpretar";0;0;0;0
"discutir";0;0;0,096;0
"diario";0;0;0;0
"residuo";0;0;0;0
"consagrar";0;0;0,007;0,001
"ativo";0,01;0;0;0,701
"excluir";0,002;0;0,124;0,002
"administracao";0;0;0,009;0,09
"peticao";0;0;0,031;0
"noticiar";0,001;0;0,71;0
"regular";0,045;0;0,001;0,543
"basico";0;0;0;0
"violencia";0;0;0;0
"implicar";0,003;0;0,014;0,79
"grau";0,015;0;0,001;0,014
"emenda_constitucional";0,019;0;0;0
"venia";0;0,002;0;0
"rito";0,107;0;0;0
"prestacao";0,042;0,68;0,002;0,692
"sancao";0,698;0;0,01;0,013
"jurisdicional";0,278;0;0;0
"significar";0;0,098;0,021;0,002
"circunstanciar";0;0,087;0,029;0,183
"ingresso";0;0;0;0
"simples";0,136;0;0,003;0,029
"misto";0;0;0;0
"forca";0;0;0,306;0,949
"discriminacao";0;0;0;0
"constante";0,08;0,014;0;0,084
"importancia";0,349;0,001;0,038;0
"teor";0,87;0,683;0,034;0,059
"papel";0;0;0,004;0,191
"impacto";0;0;0,462;0
"dano";0;0;0;0
"culto";0;0;0;0
"constituinte";0;0;0,002;0,139
"reuniao";0;0,218;0;0
"dezembro";0;0,106;0,877;0
"chegar";0,053;0,001;0,259;0,355
"beneficiar";0;0,423;0;0,058
"compreensao";0;0,067;0,003;0
"realidade";0;0,209;0,563;0
"criminal";0;0;0;0
"tutela";0;0;0;0
"atendimento";0,31;0;0;0
"vigente";0,279;0;0,116;0
"julho";0;0;0;0,001
"federacao";0,001;0;0,21;0,015
"procurador_geral_da_republica";0;0;0;0
"posto";0;0,879;0,052;0,001
"historico";0;0,002;0,014;0
"profissional";0;0;0;0
"judiciario";0;0;0;0
"determinacao";0,609;0,079;0,656;0,109
"mes";0,268;0;0,005;0
"prefeito";0,258;0;0,03;0
"ordenamento";0;0;0;0,582
"discricionario";0;0,001;0;0
"assumir";0;0;0,001;0
"agr";0;0;0;0
"proibir";0;0,974;0;0
"imposto";0;0,003;0,814;0,614
"ae";0;0,036;0,183;0,02
"vice";0;0;0;0
"regional";0;0;0;0
"policiar";0;0;0;0,012
"passo";0;0,009;0;0
"divulgacao";0,076;0;0,003;0,041
"impugnacao";0;0;0;0
"improcedente";0;0;0;0
"firmar";0;0,013;0,037;0
"arma";0;0;0;0
"convencao";0;0,004;0;0
"informar";0,278;0;0,001;0,001
"familiar";0;0,045;0;0
"soberania";0;0;0;0
"sanitario";0;0;0;0
"chamado";0;0,153;0,117;0,234
"eficaz";0;0;0;0
"definitivo";0;0,004;0;0
"validade";0;0,001;0,002;0
"fiscal";0;0;0;0
"procuradoria_geral_da_republica";0;0;0;0
"pensar";0,419;0,55;0;0,009
"consideracao";0,799;0,006;0,002;0
"reqte";0;0,005;0,053;0,007
"negro";0,01;0;0,312;0
"alcancar";0,095;0,013;0,021;0,659
"secretaria";0,501;0;0,011;0
"orientacao";0,129;0;0,325;0
"oferecer";0,375;0,995;0,01;0,015
"busca";0,285;0,093;0,01;0
"sujeito";0;0;0,247;0,543
"suficiente";0,022;0;0,037;0
"reconducao";0;0;0;0
"razoavel";0,373;0;0,201;0,002
"acusar";0;0;0;0
"suspender";0;0;0,704;0
"rer";0;0,782;0;0
"interesse_publico";0,237;0;0,06;0,068
"indireto";0;0;0,003;0,316
"excepcional";0,336;0;0,003;0
"restringir";0;0,674;0,005;0
"gratuito";0,139;0,007;0,411;0
"falta";0,894;0,003;0,008;0,129
"resultar";0,919;0,024;0;0
"gerar";0,234;0,082;0,17;0
"fisico";0;0;0,002;0
"compativel";0;0;0;0,001
"pretender";0,125;0,5;0,001;0,949
"preciso";0;0;0,087;0,013
"mero";0,123;0,623;0,02;0,63
"composicao";0;0;0,002;0
"causar";0,047;0;0;0
"silva";0,889;0,227;0,216;0,032
"provimento";0;0;0;0
"proposito";0,025;0,616;0;0,15
"doutrina";0,119;0,391;0;0
"privativo";0,004;0;0;0
"paulo";0,352;0,319;0,01;0,082
"coisa";0,244;0,598;0,025;0,411
"verba";0;0;0;0
"processo_legislativo";0,33;0;0,996;0
"impedimento";0,278;0;0,041;0
"esfera";0;0;0,078;0,46
"encaminhar";0;0,001;0;0
"bloco";0;0;0;0,577
"reduzir";0;0;0,496;0
"violar";0,353;0,082;0,007;0,452
"professor";0;0;0,484;0
"postulado";0;0,017;0;0,004
"cenario";0;0,012;0,656;0
"alegado";0;0,001;0,547;0
"propor";0;0,317;0;0
"proceder";0,878;0,112;0,214;0,31
"inscrever";0;0,007;0;0
"futuro";0;0;0,002;0
"vigor";0;0;0,05;0
"tratamento";0;0;0,85;0
"inexistencia";0;0;0,074;0
"central";0;0,99;0;0,067
"precisar";0;0,004;0,002;0,004
"improcedencia";0;0;0,013;0
"https";0;0;0,001;0
"revista";0;0;0;0
"obter";0,003;0;0,002;0,989
"identificacao";0;0;0;0,009
"conformidade";0,08;0;0;0,004
"vereador";0;0;0;0
