"";"classe 1";"classe 2";"classe 3";"classe 4"
"crime";-184,697;521,934;-81,16;-25,996
"orcamento";-220,893;-310,279;5966,447;-242,502
"reconhecer";29,53;-1,352;-24,021;-0,837
"execucao";-141,628;-236,445;5052,185;-284,563
"inconstitucionalidade";817,838;-69,03;-12,991;-265,341
"funcao";-190,145;576,394;-34,199;-65,029
"legal";-12,542;33,035;33,002;-37,507
"camara_dos_deputados";-79,954;806,509;-6,155;-371,074
"membro";-106,02;651,576;-35,764;-165,222
"permitir";-45,983;61,601;-6,242;-0,015
"estadual";25,586;23,748;-0,042;-93,794
"procedimento";-69,815;64,782;28,689;-13,663
"brasil";-68,315;-147,644;-15,451;518,996
"parlamentar";-168,289;57,16;1334,009;-327,91
"ministerio";-19,208;-235,764;12,011;317,878
"hipotese";-12,555;356,482;-34,04;-156,034
"prazo";61,22;44,801;0,025;-207,523
"impugnar";564,764;-54,732;-66,126;-97
"fato";3,937;4,042;-4,123;-7,26
"ambito";-15,49;34,713;0,591;-7,955
"observar";-29,197;13,617;14,401;-1,07
"servico";-56,284;-66,136;15,061;171,184
"entender";122,294;19,025;-18,791;-150,919
"ano";-25,787;-0,063;0,839;20,26
"intdo";13,178;-2,992;-1,477;-0,816
"covid";-66,191;-175,311;-72,419;708,381
"democratico";-92,302;40,569;-24,343;31,219
"casa";-118,14;531,756;-0,214;-173,832
"arguicao";1505,052;-269,142;-27,882;-274,378
"doer";-34,942;123,561;-0,032;-33,032
"dispositivo";94,983;13,052;-18,155;-106,411
"vida";-175,044;-202,83;-64,102;1034,279
"adotar";-6,514;-0,474;5,245;2,921
"portaria";224,123;-129,539;-11,061;-0,152
"df";650,103;-84,129;-34,934;-121,787
"alar";-25,968;-5,388;12,867;24,981
"conferir";0,441;100,961;-0,904;-108,054
"dje";1021,625;-178,557;-52,851;-143,981
"limite";-80,491;64,473;0;0,053
"ponto";54,007;0,074;-35,08;-12,774
"acesso";-42,18;-73,234;19,173;150,3
"individual";-45,438;-95,327;644,772;0,535
"necessidade";-4,648;-0,005;-1,78;8,662
"condicao";-2,488;-0,367;-42,999;38,138
"maior";-30,728;-2,233;6,004;27,804
"projeto";-5,199;-73,422;1170,916;-103,751
"ocorrer";-14,856;90,468;-0,962;-30,746
"despesa";-209,477;-283,685;5708,64;-246,246
"pedir";783,96;-176,746;-0,937;-149,218
"tese";7,196;71,028;-23,907;-67,236
"especial";-22,957;151,296;-2,561;-51,095
"assegurar";-78,134;-4,608;28,513;52,979
"senado_federal";-37,141;325,617;0,574;-176,712
"razao";20,792;-0,549;-4,672;-4,916
"afirmar";1,798;2,646;-13,383;-0,466
"penal";-105,473;496,164;-57,492;-72,882
"interesse";0,046;-1,523;0,42;0,447
"iv";-25,142;3,223;-2,773;15,435
"determinar";27,722;-1,438;24,053;-46,04
"precedente";335,009;-2,876;-23,907;-157,745
"vista";252,313;-40,504;-28,044;-27,11
"especificar";-0,404;14,238;11,317;-28,817
"manifestacao";126,421;-55,014;-30,547;0,173
"aplicacao";0,132;19,209;60,82;-93,841
"autorizar";-11,809;85,087;0,631;-45,469
"processual";349,934;17,901;-61,352;-296,8
"arts";-5,939;70,335;26,288;-90,397
"respeito";-8,841;0,08;-9,316;19,48
"regime";-74,01;3,445;208,727;-7,323
"texto";-47,642;351,482;-21,048;-98,899
"poder_executivo";-36,371;109,061;112,42;-134,844
"defesa";-69,351;34,478;-53,11;40,258
"tribunal_pleno";1302,361;-261,93;-48,27;-174,171
"judicial";9,246;51,016;-6,705;-74,611
"base";-8,812;-0,984;24,152;0,628
"direto";67,957;9,801;-15,281;-74,196
"partido";86,62;20,851;-15,865;-122,201
"apo";119,166;0,419;-12,528;-77,687
"assembleia_legislativa";7,789;35,167;-9,058;-47,497
"criterio";-57,612;-2,484;209,906;-0,024
"sao_paulo";-4,681;-25,235;-41,681;125,908
"gilmar_mendes";534,461;-42,568;-36,865;-130,233
"seguranca";-7,621;-99,578;-41,375;284,877
"jurisprudencia";314,208;-3,471;-66,163;-96,682
"eminente";547,631;-46,797;-10,944;-170,67
"conhecimento";700,184;-175,175;-24,274;-70,055
"requisito";428,776;-35,181;-43,543;-88,609
"partir";-14,432;8,225;4,853;-0,52
"so";-19,732;43,582;-24,767;0,233
"autor";103,659;-23,955;34,678;-67,929
"contar";-1,63;-2,775;132,707;-17,665
"uso";-116,927;-124,605;-7,209;547,795
"tender";167,328;-19,566;-23,546;-21,983
"ministerio_publico";-41,825;412,067;-31,613;-128,04
"governador";2,838;65,615;-3,725;-76,539
"participacao";0,58;4,668;-0,567;-6,159
"poder_publico";40,023;-53,325;-5,339;8,787
"legislacao";-9,843;40,077;-19,775;-0,642
"carater";24,95;-7,711;-0,19;-2,557
"tema";26,891;3,877;-17,703;-18,802
"rp";-181,67;-296,353;5709,685;-264,234
"risco";-58,741;-184,94;-9,985;539,534
"respectivo";-39,669;30,645;176,224;-63,285
"caber";-15,094;94,444;1,229;-49,308
"acompanhar";653,57;-110,738;-11,628;-126,676
"exercer";-69,733;155,468;-20,373;-4,615
"justica";-0,009;0,14;-46,842;15,5
"diverso";-2,66;5,209;0,033;-0,847
"garantia";-86,708;39,043;-11,742;20,244
"sessao";228,979;4,309;-17,762;-192,127
"politicar";-122,262;197,6;-5,753;-6,406
"aplicar";-16,347;45,148;32,411;-43,805
"mulher";-148,422;-205,526;-28,187;875,943
"violacao";14,145;5,155;-21,291;-9,279
"atuacao";-44,53;117,277;0,073;-25,08
"ficar";-7,421;19,827;0,097;-4,848
"autoridade";-72,813;84,634;-27,161;3,331
"requerente";335,067;-61,439;0,006;-86,563
"natureza";0,417;6,513;0,251;-12,611
"fundamento";83,402;3,874;-24,157;-58,296
"stf";95,556;6,256;-22,873;-78,766
"dispor";-7,305;14,711;14,188;-13,868
"decorrente";-19,371;-20,247;407,888;-13,637
"referido";0,495;15,61;11,011;-46,124
"pai";-134,846;-70,18;-23,132;511,038
"declarar";300,175;-3,51;-11,076;-154,182
"instituicao";-86,323;0,024;-5,558;101,939
"exigir";-5,564;-3,201;-8,243;34,273
"admitir";78,996;5,181;-24,681;-59,107
"transparencia";-86,332;-43,092;1688,33;-97,282
"restricao";-67,986;-29,28;-20,576;262,169
"destinar";-81,243;-31,183;718,069;-5,254
"cautelar";360,879;-23,011;-2,772;-144,385
"registro";-3,197;-18,341;-2,356;49,794
"determinado";-16,517;0,543;4,469;3,171
"coletivo";-24,141;-25,809;-7,286;133,601
"importante";-9,674;-4,345;-2,364;36,544
"concessao";94,794;1,865;-23,521;-58,158
"instrumento";2,173;-3,867;73,981;-22,017
"garantir";-95,914;-25,86;23,266;132,941
"momento";2,477;2,304;-20,014;-0,082
"finalidade";-13,251;2,522;54,765;-7,667
"responsabilidade";-100,641;252,279;-3,892;-31,892
"definir";-63,437;10,817;24,278;1,219
"constituir";-31,007;5,918;-0,623;10,592
"veto";631,369;-57,996;-32,762;-153,884
"manter";-9,001;0,335;25,117;-0,734
"votacao";-37,757;445,961;-28,469;-159,815
"area";-106,163;-140,264;-11,712;579,848
"realizacao";-23,867;6,784;-2,096;8,055
"educacao";-20,26;-36,376;143,009;9,472
"relatorio";192,897;-157,35;10,285;-4,885
"pena";-41,904;220,006;-40,069;-27,438
"institucional";-56,49;79,951;3,009;-10,052
"local";-39,455;-4,046;-5,003;88,462
"ausencia";105,381;-7,654;2,177;-60,579
"contrariar";-15,417;69,551;-11,594;-7,667
"carmen_lucia";455,471;-46,736;-29,916;-95,661
"ente";-26,164;25,769;206,463;-86,104
"acordao";609,03;-68,131;-1,224;-201,059
"sociedade";-97,709;-96,675;-32,088;528,941
"republicano";-116,39;141,514;20,621;-23,549
"acordo";-34,136;-0,103;12,62;13,438
"formular";318,291;-24,725;-6,347;-104,278
"expor";368,307;-89,88;-14,542;-36,532
"financeiro";-60,553;-106,404;2091,57;-106,126
"editar";0,167;48,808;-3,708;-40,892
"redacao";13,919;51,061;0,027;-120,954
"democracia";-67,099;-2,148;-42,45;176,874
"camar";-73,12;618,363;-29,701;-200,391
"chefe";-24,104;194,686;-3,198;-74,355
"fundamental";-31,292;0,071;-7,755;45,516
"publico";-31,289;-1,641;18,209;15,813
"passar";-10,988;-0,678;31,125;0,287
"proc";31,793;-5,813;-1,083;-4,888
"eficacia";269,608;-39,992;-43,235;-24,634
"senado";-100,907;655,492;-37,988;-170,499
"conjunto";0,413;-21,755;78,383;-1,639
"alexandre_de_moraes";318,756;-25,337;-18,697;-81,799
"proposta";71,356;-16,769;44,165;-62,282
"poder_judiciario";-50,484;328,389;-39,333;-65,049
"entendimento";95,652;22,49;-33,707;-111,431
"publicidade";-40,601;2,182;421,813;-67,199
"fundo";2,326;-64,032;680,358;-87,218
"conceder";105,405;6,672;-18,259;-94,869
"impeachment";-53,107;628,581;-51,574;-210,011
"deferir";457,383;-76,152;-2,087;-107,452
"inquerito";-13,437;314,594;-39,791;-118,887
"destacar";-1,318;-17,26;-3,663;42,942
"controversia";652,819;-50,336;-25,385;-189,519
"anterior";27,944;7,951;10,535;-98,413
"minimo";-11,262;-0,008;34,15;-0,119
"desenvolvimento";-84,751;-138,409;34,183;296,663
"curiae";15,524;-5,675;-1,575;-0,249
"am";29,191;-2,992;-1,477;-6,667
"vacinacao";-69,884;-217,565;-45,012;743,581
"paragrafar";-55,438;270,772;-0,008;-97,034
"dias_toffoli";361,837;-10,819;-26,334;-131,063
"impor";-34,926;-0,001;-9,103;56,302
"amplo";0,014;-8,724;148,416;-21,226
"republicar";-36,625;85,54;-2,422;-8,049
"deixar";0,001;13,627;-7,288;-4,707
"supremo";43,226;35,74;-38,148;-73,356
"executivo";-58,524;145,549;30,572;-74,127
"doc";290,058;-20,018;-2,726;-110,16
"codigo";-9,915;145,785;-21,579;-43,379
"requerer";394,705;-64,652;-4,465;-85,014
"governo";-73,234;-17,154;11,888;104,829
"relevante";64,203;-0,067;-10,337;-28,422
"cidadao";-79,947;-12,992;-4,963;183,884
"conselho";13,76;2,716;-16,047;-7,465
"eventual";0,974;39,555;-0,651;-47,839
"tecnica";-48,625;-62,365;87,432;80,2
"marco";107,259;-7,553;-22,285;-16,436
"legitimar";3,428;15,559;-18,597;-9,92
"juizo";0,002;163,457;-24,749;-102,888
"entidade";-9,878;-1,721;103,658;-3,889
"procedente";660,179;-83,175;-14,224;-158,748
"encontrar";-0,326;-0,27;-6,765;7,214
"diretor";-65,173;0,379;230,865;-5,721
"indulto";-31,467;383,635;-42,615;-117,349
"luis_roberto_barroso";168,808;-0,767;-31,691;-62,692
"livre";-94,998;-53,131;-26,681;397,526
"alteracao";1,309;-19,247;1,481;7,207
"eleitor";-19,317;6,765;-3,007;6,527
"impedir";-34,184;33,033;-17,026;4,697
"economico";-56,308;-101,512;-9,571;376,495
"apontar";6,071;0,037;-0,766;-3,957
"conama";0,037;-143,812;-42,293;262,436
"utilizar";-23,679;-3,68;54,194;4,119
"investigacao";-60,47;211,585;-18,621;-24,559
"deliberacao";-10,542;309,709;-15,794;-158,806
"existencia";26,115;0,578;-14,538;-10,648
"pandemia";-29,334;-79,359;-48,159;346,101
"concreto";135,04;-6,79;-16,449;-33,749
"referir";-45,595;31,349;5,746;-0,738
"promover";-42,115;-1,254;2,038;41,168
"exemplo";-39,923;28,648;-4,937;3,395
"civil";-3,124;-6,382;-10,315;39,244
"populacao";-59,388;-122,441;24,423;244,699
"exame";246,116;-36,551;-6,585;-49,535
"constituicao_da_republica";-0,098;108,532;-16,367;-62,97
"manifestar";229,455;-16,286;-17,502;-57,716
"advogado_geral_da_uniao";305,133;-60,308;-4,594;-52,025
"submeter";0,156;9,209;1,386;-17,894
"ed";0,358;-24,773;-34,768;67,429
"documento";2,203;-41,045;116,355;-2,186
"acao_direta_de_inconstitucionalidade";720,383;-114,794;-34,137;-115,782
"trazer";153,663;-36,909;-1,484;-22,319
"direitos_fundamentais";-54,724;-24,952;-34,334;248,981
"rosa_weber";393,382;-61,161;-3,414;-91,771
"estatal";-38,943;-7,368;-4,896;101,527
"exigencia";0,033;-0,853;-20,33;12,742
"declaracao";42,633;-22,11;-23,847;2,837
"verificar";11,455;0,49;1,605;-22,186
"final";21,1;-2,581;57,059;-54,298
"contexto";-7,526;-2,078;-6,806;32,467
"resultado";-32,944;-18,265;505,832;-16,631
"preceito_fundamental";484,726;-27,929;-29,273;-145,326
"pleno";44,752;-9,67;-32,661;0,165
"mesa";-59,705;431,865;-0,558;-185,946
"constitucionalidade";330,207;-12,778;-31,402;-101,139
"essencial";-50,67;-43,718;-3,92;218,449
"descumprimento";385,524;-66,065;-0,072;-101,044
"edson_fachin";419,699;-52,822;-21,255;-82,043
"material";0,007;-1,567;-2,641;4,921
"subsidiariedade";936,365;-127,057;-35,32;-187,255
"religioso";-96,242;-182,557;-40,08;736,137
"data";233,49;-6,984;-16,047;-85,896
"ricardo_lewandowski";402,796;-25,44;-23,435;-116,906
"procurador_geral";38,429;-0,146;-4,927;-16,834
"numerar";-32,788;-0,02;-12,596;60,281
"suprema_corte";19,567;1,642;-25,326;-5,738
"previsao";-54,831;105,704;14,085;-34,873
"linha";-0,57;0,597;-9,207;3,226
"representacao";27,904;29,789;-28,274;-53,824
"adequado";17,56;-8,1;-10,605;0,96
"inicial";234,7;-8,768;0,619;-142,641
"cumprimento";19,544;-16,846;33,77;-12,624
"instituto";1,356;12,905;-28,372;-2,275
"publicacao";188,884;-10,573;-0,022;-91,622
"demonstrar";28,464;-22,721;-6,101;1,927
"atender";0,011;-10,67;117,4;-11,832
"produto";-37,443;-81,105;-26,359;333,158
"marco_aurelio";268,827;-1,031;-31,705;-120,915
"iniciar";60,484;1,223;-8,347;-45,112
"regimento_interno";-11,581;389,051;-35,762;-179,649
"proteger";-109,402;-84,285;-40,274;542,574
"parametro";-0,569;-3,978;-0,529;10,371
"preservacao";-73,159;-131,85;-31,385;547,553
"preliminar";142,457;-31,62;93,595;-132,13
"administracao_publica";-26,968;83,157;5,907;-35,806
"preceito";0,003;99,56;-25,62;-51,909
"relativo";-7,095;-10,838;40,539;3,9
"suspensao";72,099;-1,943;29,972;-99,846
"plano";-32,481;-34,226;242,357;3,212
"fixar";-16,912;82,769;3,341;-43,722
"causa";0,272;16,805;-14,275;-5,664
"prejuizo";14,728;-2,594;17,041;-20,511
"tornar";-8,419;-0,096;40,662;-0,772
"poder_legislativo";-47,587;321,043;-0,932;-128,472
"privado";-62,127;-38,061;-22,682;281,205
"funcionamento";-46,951;44,372;-0,148;-0,019
"representar";-34,938;3,149;19,672;1,049
"edoc";198,501;-53,909;-16,843;-10,472
"titular";-49,602;37,028;15,838;-4,26
"mandato";-87,59;533,623;-35,162;-127,087
"autorizacao";-28,728;52,323;-1,633;-2,521
"incluir";-8,636;-10,714;29,079;7,947
"sustentar";25,78;0,98;-9,821;-15,124
"edicao";38,419;14,469;-4;-73,137
"utilizacao";5,266;-37,094;50,936;-0,098
"especie";0,893;-3,959;-4,957;6,417
"distribuicao";-47,528;-41,431;1315,872;-86,23
"atribuicao";-73,089;250,599;-0,801;-58,734
"questionar";134,392;-6,043;-10,39;-41,605
"observancia";-11,498;63,837;6,045;-42,825
"eletronico";54,632;-30,866;181,883;-92,542
"producao";-38,43;-100,702;-22,157;365,761
"grave";-23,359;-8,779;-7,494;86,943
"envolver";-2,24;0,074;3,252;0
"afastar";11,617;4,591;1,116;-37,083
"revelar";-1,819;1,597;2,272;-0,917
"atual";-22,548;0,757;-6,369;26,646
"luiz_fux";274,59;-15,491;-18,142;-81,009
"estudo";-79,491;-120,453;-15,979;494,038
"conhecer";686,762;-116,632;-23,525;-114,193
"certo";-8,853;1,738;-8,392;10,575
"internacional";-84,659;-112,819;-31,493;535,088
"razoar";91,576;0,381;-6,624;-65,702
"justificar";4,575;10,023;-16,326;-7,772
"argumento";17,293;19,443;-24;-29,708
"veicular";82,998;-32,019;-17,574;-0,041
"via";170,043;-44,551;-0,908;-23,82
"expressar";-28,775;59,206;-14,192;-0,269
"claro";-3,809;21,745;1,225;-13,267
"advogado";177,287;-30,343;-0,593;-41,678
"receber";-10,419;0,213;21,01;-0,065
"ultimar";-20,918;56,407;-8,069;-2,725
"passageiro";-22,273;-42,38;-11,054;175,175
"igualdade";-63,466;-3,023;-20,346;147,075
"liminar";725,499;-153,115;-18,112;-102,451
"levar";-12,561;-0,021;-1,769;18,741
"efetivo";-5,294;-13,521;2,889;24,171
"vedacao";-50,158;69,406;-9,334;0
"tomar";-17,602;2,076;-6,116;16,149
"querer";-0,588;0,47;-14,387;5,605
"imediato";166,911;-16,036;-6,299;-42,963
"dj";665,015;-118,056;-26,149;-101,19
"falar";2,203;0,406;-12,104;0,008
"item";6,482;6,369;23,461;-64,146
"autonomia";-25,146;78,685;9,989;-40,302
"maneira";-10,419;11,679;-3,044;0,378
"disposto";-15,209;29,224;26,169;-25,436
"devido";0,882;6,63;2,329;-20,137
"juiz";-32,523;141,875;-30,168;-12,078
"perda";176,712;-15,705;-9,767;-43,173
"juri";-26,616;177,532;-30,467;-29,481
"celso_de_mello";459,924;-38,306;-25,532;-116,725
"qualidade";-0,098;-109,981;-20,973;194,273
"alterar";56,893;-0,006;-4,193;-33,555
"proferido";238,406;-41,622;0,877;-73,15
"lado";-6,658;1,298;-15,138;13,52
"atribuir";-46,345;48,019;7,101;-5,492
"relacionar";-5,074;-17,096;4,184;26,299
"instituir";-18,698;2,126;0,191;5,39
"registrar";-2,044;-38,492;34,367;16,973
"expressao";-63,466;-7,976;-11,738;158,128
"defender";-4,329;0,001;-13,425;17,721
"legislador";-51,359;175,49;-26,413;-13,578
"evitar";-0,097;-0,957;-13,078;12,54
"associacao";28,831;-58,78;-6,847;19,672
"reeleicao";-75,878;527,705;-31,878;-142,332
"indicar";0,503;5,113;5,903;-20,297
"humano";-105,999;-173,483;-30,412;714,807
"instauracao";-9,43;287,03;-29,119;-125,706
"candidato";-57,667;332,502;-17,485;-81,223
"preceitos_fundamentais";86,994;0,65;-22,956;-44,871
"pleito";32,765;32,151;-9,56;-87,432
"interno";-17,32;60,099;-0,775;-12,272
"valer";-1,571;3,331;-7,64;1,034
"periodo";-17,961;23,717;1,476;-3,087
"lesao";226,479;-8,21;-31,108;-61,579
"urbano";-11,244;-36,242;-8,275;124,536
"natural";-84,326;-65,029;-30,213;416,481
"ideia";-77,082;-26,062;-30,611;288,962
"fiscalizacao";-0,636;-9,557;71,439;-1,662
"face";120,972;-13,143;-20,879;-14,839
"regulamentar";1,104;4,482;-7,146;-2,318
"omissao";53,106;-29,841;157,416;-81,642
"legitimidade";53,478;-0,005;-12,679;-21,624
"vincular";-18,745;4,081;91,397;-15,194
"representante";-46,611;105,612;-5,947;-6,844
"obrigatorio";-42,1;-10,233;105,617;9,495
"mencionar";29,238;-3,307;0,015;-11,04
"sede";117,927;0,221;-14,261;-71,09
"oportunidade";0,05;49,565;-17,929;-23,49
"revogar";92,891;-55,139;-23,405;2,307
"decidir";74,169;-2,543;-15,661;-16,51
"conclusao";49,521;0,202;-2,8;-37,111
"aprovar";-19;-0,122;250,375;-28,137
"popular";-10,51;98,548;-9,001;-28,128
"existir";-4,598;-1,731;0,701;8,228
"ensino";-0,747;-60,776;23,29;34,41
"orcamentario";-70,321;-88,253;2235,565;-135,413
"denunciar";-75,689;448,685;-25,081;-110,062
"genero";-94,854;-76,652;-28,574;464,547
"tecnico";-0,599;-29,931;4,21;26,024
"prestar";63,613;-8,399;-0,045;-19,674
"evidenciar";-16,029;-40,736;0,885;95,778
"inteligencia";-16,449;-29,567;-22,241;152,837
"criacao";0,122;7,76;0,186;-12,029
"vedar";-25,705;4,516;22,638;-0,111
"superior";-0,607;0,023;1,398;-0,023
"solucao";8,177;8,43;-23,308;-7,358
"seguranca_publica";-4,879;-67,446;-27,877;191,059
"indicacao";-20,836;-0,01;535,14;-97,785
"proibicao";-30,83;-19,142;-25,951;166,906
"produzir";-3,973;-6,925;-5,46;36,547
"grupo";-21,752;-72,892;2,654;149,009
"debate";69,597;-0,816;-12,409;-22,938
"votar";15,272;30,228;-12,163;-51,962
"possuir";-28,665;26,713;-1,538;0,262
"concluir";6,395;0,761;-0,671;-7,767
"of";-46,042;-48,508;-17,399;261,936
"nivel";-38,139;-2,018;-0,114;56,573
"configurar";4,068;2,439;-15,677;-1,144
"the";-38,863;-35,551;-12,539;202,759
"grande";-7,373;-8,946;-3,579;46,572
"ementa";143,19;-18,784;-5,557;-29,232
"cumprir";-0,455;11,308;-2,377;-3,507
"ofensa";64,404;-1,447;-24,753;-10,766
"formal";6,947;2,808;1,331;-24,371
"escolha";-67,147;91,54;-8,847;-0,067
"curso";-5,312;0,516;-2,423;5,787
"adocao";-20,198;-15,086;2,176;53,96
"referendo";333,186;-61,787;-0,161;-79,866
"amicus_curiae";706,491;-124,489;-26,984;-109,374
"mc";537,492;-99,451;-20,68;-78,566
"inconstitucional";4,793;20,25;-2,279;-33,367
"colocar";-7,411;0,832;-22,905;21,156
"modelo";-28,988;14,192;16,137;-1,612
"consequencia";-24,389;37,073;-8,396;0,038
"vacina";-82,342;-147,224;-28,556;595,559
"roberto_barroso";351,459;-49,257;-8,309;-76,336
"fase";-4,039;59,796;4,744;-54,962
"voltar";-8,766;-3,999;48,964;0,286
"rio_de_janeiro";-6,456;-3,43;0,562;14,829
"revisao";0,082;5,209;-1,2;-3,786
"retrocesso";-24,992;-35,421;-28,38;200,624
"motivo";0,002;-0,813;-6,66;6,188
"duvidar";2,221;14,668;-16,302;-8,178
"agente";-54,813;2,822;-14,698;58,558
"espaco";-42,895;-2,7;-3,11;80,76
"relevancia";149,813;-15,968;-17,52;-23,841
"legitima_defesa_da_honra";-57,637;72,413;-32,256;3,743
"deputado";-25,45;106,374;35,55;-91,03
"contrato";41,473;0,062;0,875;-48,072
"assentar";34,259;3,622;-7,97;-33,143
"limitacao";-42,423;8,918;3,486;3,745
"criar";-23,176;22,302;7,333;-3,934
"candidatura";-38,954;223,219;-2,922;-71,038
