"";"classe 1";"classe 2"
"base";-291,476;291,476
"membro";-281,014;281,014
"democrático";-355,086;355,086
"vida";-494,992;494,992
"financeiro";-308,876;308,876
"ensino";-349,397;349,397
"eminente";1809,183;-1809,183
"caráter";1,062;-1,062
"fundamento";198,559;-198,559
"afirmar";-23,586;23,586
"análise";0,028;-0,028
"rosa";3500,359;-3500,359
"prático";-391,064;391,064
"procedente";4936,761;-4936,761
"conferir";-12,737;12,737
"superior";-86,227;86,227
"declarar";1026,896;-1026,896
"eleitoral";-187,948;187,948
"indígena";-291,902;291,902
"existência";194,266;-194,266
"diretor";-381,553;381,553
"tender";1,565;-1,565
"acompanhar";1950,135;-1950,135
"partir";-191,762;191,762
"transporte";-153,441;153,441
"autor";36,805;-36,805
"legislação";-140,539;140,539
"pena";-304,733;304,733
"weber";3615,983;-3615,983
"toffoli";3329,224;-3329,224
"ocorrer";-119,674;119,674
"cumprimento";-62,694;62,694
"local";-90,781;90,781
"estatal";-230,784;230,784
"governo";-394,698;394,698
"instrumento";63,944;-63,944
"resolução";-17,139;17,139
"autoridade";-336,455;336,455
"área";-456,191;456,191
"trabalhador";-69,81;69,81
"privado";-447,388;447,388
"fux";3035,487;-3035,487
"crime";-421,345;421,345
"santo";54,089;-54,089
"objetivo";15,198;-15,198
"associação";268,258;-268,258
"garantia";-366,735;366,735
"respectivo";-274,101;274,101
"congresso";-190,019;190,019
"pagamento";-165,26;165,26
"só";-99,657;99,657
"objectivo";16,571;-16,571
"omissão";60,557;-60,557
"dispor";-130,817;130,817
"servidor";-160,684;160,684
"desmatamento";-413,314;413,314
"manifestação";11,394;-11,394
"sessão";2810,266;-2810,266
"requerente";114,459;-114,459
"amplo";48,424;-48,424
"assembleia";-5,021;5,021
"muito";-153,59;153,59
"concessão";-3,961;3,961
"caber";-62,652;62,652
"uso";-349,613;349,613
"autonomia";-308,247;308,247
"texto";-138,916;138,916
"covid";-206,702;206,702
"região";2,345;-2,345
"instituto";-22,374;22,374
"ricardo";2230,235;-2230,235
"agente";-465,45;465,45
"decorrente";-37,319;37,319
"país";-435,713;435,713
"aurélio";2493,906;-2493,906
"relevante";300,348;-300,348
"comissão";-374,525;374,525
"limite";-254,241;254,241
"individual";-86,713;86,713
"dado";-387,743;387,743
"lesão";1976,649;-1976,649
"institucional";-185,723;185,723
"adotar";-39,647;39,647
"stf";41,52;-41,52
"então";-14,146;14,146
"item";-5,503;5,503
"participação";-353,3;353,3
"tese";26,103;-26,103
"exigir";-24,444;24,444
"diante";20,246;-20,246
"proposta";135,142;-135,142
"expressão";-243,552;243,552
"senado";-196,146;196,146
"complementar";-168,598;168,598
"legitimidade";892,375;-892,375
"eleição";-236,344;236,344
"admitir";343,648;-343,648
"concreto";0,689;-0,689
"ficar";-173,588;173,588
"agr";4985,185;-4985,185
"lewandowski";2380,715;-2380,715
"adequado";-4,64;4,64
"relatório";434,36;-434,36
"imediato";611,781;-611,781
"destinar";-336,334;336,334
"deferir";764,348;-764,348
"devido";-177,264;177,264
"efetivo";-247,213;247,213
"deputado";-241,053;241,053
"código";-119,459;119,459
"conjunto";18,498;-18,498
"constituir";-187,992;187,992
"celso";3620,55;-3620,55
"conceder";11,09;-11,09
"entendimento";161,263;-161,263
"expor";1162,135;-1162,135
"anterior";-1,777;1,777
"amazônia";-328,63;328,63
"contrato";-311,31;311,31
"fiscalização";-207,017;207,017
"projeto";-312,987;312,987
"risco";-275,733;275,733
"parágrafo";-18,895;18,895
"proferido";1280,557;-1280,557
"fundo";-220,274;220,274
"vir";-65,435;65,435
"verificar";0,595;-0,595
"liminar";1387,545;-1387,545
"manter";-145,24;145,24
"orçamento";-321,258;321,258
"mello";3416,747;-3416,747
"exame";218,373;-218,373
"regional";11,381;-11,381
"doc";103,523;-103,523
"via";324,486;-324,486
"prestar";-60,278;60,278
"eventual";-78,042;78,042
"pandemia";-221,96;221,96
"material";-37,333;37,333
"interno";8,496;-8,496
"coisa";-2,422;2,422
"aplicar";-196,227;196,227
"procedimento";-291,502;291,502
"destacar";2,01;-2,01
"finalidade";-114,934;114,934
"realização";-269,469;269,469
"população";-368,703;368,703
"livre";-360,945;360,945
"garantir";-377,208;377,208
"contar";-225,38;225,38
"critério";-157,504;157,504
"desenvolvimento";-285,861;285,861
"polícia";-316,433;316,433
"força";-334,619;334,619
"dj";3796,128;-3796,128
"momento";-46,623;46,623
"essencial";-90,401;90,401
"juiz";-184,328;184,328
"exemplo";-99;99
"autorizar";-99,568;99,568
"federativo";-277,606;277,606
"contexto";-13,417;13,417
"demonstrar";0,213;-0,213
"ativo";828,122;-828,122
"eficácia";126,074;-126,074
"sp";485,044;-485,044
"formular";574,644;-574,644
"embargo";2771,462;-2771,462
"responsabilidade";-346,672;346,672
"ementa";1297,852;-1297,852
"petição";508,754;-508,754
"provimento";2723,93;-2723,93
"importante";-195,399;195,399
"exercer";-221,751;221,751
"redução";-322,872;322,872
"despesa";-296,545;296,545
"concentrado";1235,568;-1235,568
"abstrato";443,558;-443,558
"mínimo";-308,468;308,468
"impor";-147,694;147,694
"encontrar";-66,7;66,7
"conhecer";2998,987;-2998,987
"luís";612,038;-612,038
"ae";3,323;-3,323
"trabalhista";-33,637;33,637
"eficaz";2440,072;-2440,072
"data";-20,137;20,137
"parlamentar";-291,977;291,977
"questionar";235,461;-235,461
"chefe";-129,311;129,311
"menos";-164,493;164,493
"promover";-201,473;201,473
"conta";-61,202;61,202
"sanar";4183,601;-4183,601
"reqte";1297,702;-1297,702
"resultado";-174,465;174,465
"sempre";-84,01;84,01
"juízo";-1,525;1,525
"submeter";-0,813;0,813
"sul";6,809;-6,809
"cabimento";3033,611;-3033,611
"operação";-323,441;323,441
"utilização";60,243;-60,243
"incluir";-109,379;109,379
"grupo";-333,481;333,481
"impedir";-34,986;34,986
"redação";-107,301;107,301
"suspensão";0,364;-0,364
"face";236,052;-236,052
"internacional";-305,136;305,136
"fixar";-97,969;97,969
"utilizar";-53,267;53,267
"atender";14,436;-14,436
"previsão";-171,907;171,907
"defensoria";-49,452;49,452
"registro";-82,925;82,925
"definir";-220,363;220,363
"prestação";-233,421;233,421
"representar";-128,388;128,388
"passar";-225,545;225,545
"afastar";38,753;-38,753
"deixar";-113,045;113,045
"legítimo";-150,188;150,188
"contrário";-92,415;92,415
"cumprir";-84,63;84,63
"documento";-0,763;0,763
"relativo";-178,376;178,376
"organização";-295,457;295,457
"observância";11,824;-11,824
"manifestar";346,966;-346,966
"casa";-148,121;148,121
"antes";-60,541;60,541
"mato";6,076;-6,076
"número";-279,594;279,594
"unidade";-300,403;300,403
"relatoria";2254,093;-2254,093
"ofensa";64,169;-64,169
"referir";-67,997;67,997
"tutela";68,117;-68,117
"indicar";-31,447;31,447
"revelar";-8,947;8,947
"mc";2789,323;-2789,323
"sede";288,451;-288,451
"eletrônico";36,067;-36,067
"solução";-56,405;56,405
"disposto";-96,462;96,462
"profissional";-98,768;98,768
"obrigação";-269,481;269,481
"embora";-81,931;81,931
"grosso";8,677;-8,677
"extraordinário";484,693;-484,693
"virtual";2942,154;-2942,154
"atribuição";-237,157;237,157
"combate";-257,037;257,037
"gestão";-199,82;199,82
"parcialmente";1780,681;-1780,681
"edoc";63,087;-63,087
"quadro";-132,282;132,282
"verba";-56,237;56,237
"grave";-160,661;160,661
"editar";-58,416;58,416
"justificar";-21,871;21,871
"mulher";-238,62;238,62
"ed";47,245;-47,245
"especialmente";-67,257;67,257
"final";-0,332;0,332
"linha";-0,604;0,604
"atual";-119,877;119,877
"existir";-26,049;26,049
"técnica";-238,232;238,232
"comunidade";-256,389;256,389
"conhecido";1897,792;-1897,792
"provisório";1,934;-1,934
"negar";2042,309;-2042,309
"alteração";-88,018;88,018
"requerer";100,937;-100,937
"dignidade";-244,323;244,323
"precatório";0,214;-0,214
"sustentar";2,948;-2,948
"trazer";-6,42;6,42
"referendo";2460,329;-2460,329
"investigação";-249,97;249,97
"separação";-73,563;73,563
"assentar";145,942;-145,942
"criar";-241,936;241,936
"universidade";-132,246;132,246
"período";-252,231;252,231
"igualdade";-237,544;237,544
"cidadão";-293,594;293,594
"tornar";-106,984;106,984
"parâmetro";-45,94;45,94
"ex";-4,826;4,826
"argumento";36,052;-36,052
"disposição";-97,474;97,474
"convenção";-226,279;226,279
"atar";2123,108;-2123,108
"procedência";1041,139;-1041,139
"possuir";-20,92;20,92
"restrição";-229,492;229,492
"prévio";-110,546;110,546
"fiscal";-169,556;169,556
"preliminar";923,379;-923,379
"prejuízo";-29,472;29,472
"tomar";-111,068;111,068
"evitar";0,173;-0,173
"providência";-100,287;100,287
"legalidade";-81,662;81,662
"conteúdo";-21,71;21,71
"andré";551,171;-551,171
"levar";-94,399;94,399
"presidência";81,162;-81,162
"maneira";0;0
"certo";-120,104;120,104
"receber";-77,344;77,344
"espécie";7,921;-7,921
"nunes";1145,754;-1145,754
"ideia";-275,936;275,936
"republicano";-168,903;168,903
"ressaltar";-31,265;31,265
"determinação";-115,526;115,526
"mostrar";25,8;-25,8
"título";-172,732;172,732
"terra";-209,005;209,005
"demanda";-20,516;20,516
"representante";-190,01;190,01
"atribuir";-101,036;101,036
"prefeito";4,275;-4,275
"implementação";-201,025;201,025
"envolver";-67,965;67,965
"jurisdição";1,175;-1,175
"causa";-50,532;50,532
"problema";-196,623;196,623
"economia";-143,069;143,069
"democracia";-232,657;232,657
"conclusão";64,682;-64,682
"adoção";-134,958;134,958
"discutir";600,221;-600,221
"categoria";-60,728;60,728
"vincular";-124,059;124,059
"legislador";-207,869;207,869
"cláusula";-75,089;75,089
"rede";0,796;-0,796
"proteger";-221,159;221,159
"preservação";-36,85;36,85
"exigência";-87,954;87,954
"querer";-65,944;65,944
"instituir";-153,301;153,301
"atuar";-199,432;199,432
"estabelecimento";-139,345;139,345
"advocacia";120,101;-120,101
"benefício";-176,861;176,861
"carta";-96,982;96,982
"alegação";25,808;-25,808
"federação";-63,185;63,185
"pessoal";-194,031;194,031
"iniciativa";-166,156;166,156
"gênero";-154,587;154,587
"re";1016,931;-1016,931
"autorização";-231,893;231,893
"curso";-106,864;106,864
"falar";-1,766;1,766
"responsável";-239,892;239,892
"legislar";-144,599;144,599
"marques";1105,386;-1105,386
"básico";-231,45;231,45
"estudo";-201,551;201,551
"configurar";2,745;-2,745
"urbano";-122,255;122,255
"tratamento";-263,238;263,238
"constante";-62,879;62,879
"bloqueio";51,977;-51,977
"comum";-192,242;192,242
"visar";-120,399;120,399
"formal";-3,877;3,877
"prevenção";-148,613;148,613
"elemento";-131,929;131,929
"mês";-159,685;159,685
"publicação";0,934;-0,934
"pensão";-32,298;32,298
"mecanismo";36,589;-36,589
"concluir";-3,126;3,126
"portaria";-30,129;30,129
"integrar";-179,337;179,337
"proibição";-161,069;161,069
"criação";-175,868;175,868
"território";-150,758;150,758
"impossibilidade";22,091;-22,091
"norte";-0,907;0,907
"lado";-106,261;106,261
"jurisdicional";0,212;-0,212
"busca";-20,439;20,439
"competente";-193,385;193,385
"preso";-184,962;184,962
"programa";-240,69;240,69
"transparência";-209,498;209,498
"fase";-95,072;95,072
"lesividade";3030,562;-3030,562
"disponível";-1,796;1,796
"reconhecimento";-21,284;21,284
"receita";-161,518;161,518
"expressar";-108,3;108,3
"oliveira";0,023;-0,023
"modelo";-128,945;128,945
"vedar";-186,438;186,438
"acercar";-5,478;5,478
"mina";36,625;-36,625
"defensor";0,724;-0,724
"claro";-85,793;85,793
"privativo";-91,159;91,159
"piauí";79,361;-79,361
"mesa";-64,244;64,244
"ix";-11,696;11,696
"debate";-50,353;50,353
"ajuizamento";1743,536;-1743,536
"orientação";-44,805;44,805
"publicar";21,063;-21,063
"produzir";-86,542;86,542
"máximo";-207,726;207,726
"vedação";-143,812;143,812
"intervenção";-103,067;103,067
"expressamente";-106,314;106,314
"nível";-227,63;227,63
"the";-34,139;34,139
"praticar";-139,493;139,493
"firmar";198,811;-198,811
"defender";-8,267;8,267
"manutenção";-112,071;112,071
"registrar";-50,436;50,436
"edição";-121,034;121,034
"integrante";-132,031;132,031
"grau";10,071;-10,071
"alegar";1,382;-1,382
"procuradoria";439,135;-439,135
"compreender";0,014;-0,014
"dentro";-214,549;214,549
"regimento";-2,24;2,24
"pará";84,576;-84,576
"bahia";42,92;-42,92
"prisão";-190,847;190,847
"empregado";-106,461;106,461
"mencionar";-6,689;6,689
"luz";-63,092;63,092
"absoluto";-98,736;98,736
"mandato";-198,541;198,541
"inexistência";932,303;-932,303
"consequência";-130,509;130,509
"funcionamento";-186,942;186,942
"atendimento";3,921;-3,921
"aspecto";-72,349;72,349
"decidir";0,002;-0,002
"parcial";351,354;-351,354
"oportunidade";-7,975;7,975
"valer";-49,608;49,608
"mendonça";718,698;-718,698
"souza";-1,839;1,839
"colocar";-77,448;77,448
"prova";-77,999;77,999
"espaço";-187,788;187,788
"violar";2,065;-2,065
"rj";310,579;-310,579
"rp";-83,088;83,088
"inc";0,401;-0,401
"campo";-49,397;49,397
"distribuição";-114,462;114,462
"mandar";57,308;-57,308
"ademais";-12,041;12,041
"implicar";-23,171;23,171
"discussão";-6,732;6,732
"silva";-11,04;11,04
"súmula";3,979;-3,979
"referente";-98,016;98,016
"confederação";367,327;-367,327
"previsto";-75,314;75,314
"diferente";-163,808;163,808
"vigente";-101,879;101,879
"misto";-128,247;128,247
"causar";84,032;-84,032
"motivo";-0,017;0,017
"dezembro";5,014;-5,014
"elaboração";-159,221;159,221
"crédito";-156,466;156,466
"dúvida";-14,343;14,343
"bom";-58,271;58,271
"técnico";-183,588;183,588
"violência";-189,613;189,613
"vacinação";-163,488;163,488
"regulamentar";-16,964;16,964
"qualidade";-91,77;91,77
"publicidade";-194,648;194,648
"produção";-143,066;143,066
"ordinário";39,786;-39,786
"repercussão";145,671;-145,671
"ordenamento";-72,002;72,002
"cabível";1270,516;-1270,516
"propor";83,956;-83,956
"obrigatório";-77,048;77,048
"acima";-37,389;37,389
"estabelecido";-143,897;143,897
"impugnação";551,05;-551,05
"relevância";2,734;-2,734
"teor";-0,849;0,849
"sexual";-149,927;149,927
"lugar";-67,297;67,297
"alterar";-43,463;43,463
"alegado";229,7;-229,7
"nada";-57,824;57,824
"realidade";-130,669;130,669
"diretamente";-37,907;37,907
"central";-48,006;48,006
"escolha";-169,369;169,369
"definição";-121,962;121,962
"tão";-0,008;0,008
"circunstância";-25,181;25,181
"sanitário";-183,947;183,947
"particular";-89,63;89,63
"melhor";-109,527;109,527
"deliberação";-95,279;95,279
"voltar";-68,908;68,908
"relacionado";-68,902;68,902
"mudança";-182,133;182,133
"monitoramento";-170,847;170,847
"revisão";-27,939;27,939
"recepção";302,684;-302,684
"inquérito";-83,437;83,437
"constar";-50,383;50,383
"classe";48,881;-48,881
"apto";1372,54;-1372,54
"mero";41,444;-41,444
"josé";-51,373;51,373
"excepcional";-43,621;43,621
"natural";-163,505;163,505
"posição";-22,637;22,637
"emprego";-151,812;151,812
"competir";-91,18;91,18
"real";-59,357;59,357
"conformidade";355,122;-355,122
"resultar";-0,008;0,008
"of";-36,628;36,628
"aí";-103,2;103,2
"atingir";-119,49;119,49
"suficiente";-19,241;19,241
"ltda";0,051;-0,051
"estrutural";-56,167;56,167
"unanimidade";1611,192;-1611,192
"sim";-46,987;46,987
"compreensão";14,249;-14,249
"decorrer";-107,01;107,01
"analisar";2,44;-2,44
"indicação";-2,947;2,947
"popular";-20,067;20,067
"amazona";0,815;-0,815
"pensamento";-166,704;166,704
"dano";-114,956;114,956
"aumento";-189,123;189,123
"pressuposto";646,922;-646,922
"agora";-13,519;13,519
"seguir";-5,413;5,413
"total";-97,517;97,517
"apreciação";100,271;-100,271
"tributário";-57,307;57,307
"adotado";-125,306;125,306
"constitucionalmente";-124,744;124,744
"efetividade";-0,362;0,362
"posto";24,623;-24,623
"achar";-53,837;53,837
"palavra";-78,168;78,168
"hora";-143,53;143,53
"perda";26,322;-26,322
"turma";1237,037;-1237,037
"professor";-135,488;135,488
"grifo";193,149;-193,149
"paraíba";128,68;-128,68
"físico";-168,775;168,775
"sindicato";0,06;-0,06
"secretaria";-108,185;108,185
"criminal";-126,027;126,027
"água";-55,415;55,415
"imposto";-124,227;124,227
"consideração";-11,253;11,253
"pretender";-17,273;17,273
"brasília";625,301;-625,301
"vii";-92,605;92,605
"prestador";-52,602;52,602
"entanto";-27,109;27,109
"limitação";-138,379;138,379
"definitivo";433,921;-433,921
"contido";0,01;-0,01
"citar";20,979;-20,979
"significar";-12,475;12,475
"militar";-116,114;116,114
"oficial";-87,722;87,722
"impacto";-162,964;162,964
"regular";-44,027;44,027
"capacidade";-151,385;151,385
"revogar";-0,715;0,715
"reiterar";59,505;-59,505
"nota";-2,055;2,055
"crfb";-65,957;65,957
"votar";111,028;-111,028
"maranhão";150,677;-150,677
"eficiência";-149,177;149,177
"produto";-159,968;159,968
"relatar";923,667;-923,667
"dr";186,635;-186,635
"extensão";1,057;-1,057
"divergência";267,845;-267,845
"constituinte";-178,934;178,934
"permanente";-159,068;159,068
"científico";-158,385;158,385
"taxa";-117,475;117,475
"menor";-62,826;62,826
"falta";-16,361;16,361
"restar";88,285;-88,285
"proibir";-139,131;139,131
"gerar";-95,279;95,279
"vigência";-21,455;21,455
"catarina";43,156;-43,156
"prerrogativa";-113,243;113,243
"destinação";-146,467;146,467
"sujeito";-149,104;149,104
"estrutura";-162,798;162,798
"informar";-90,813;90,813
"capaz";434,624;-434,624
"futuro";-134,486;134,486
"disciplina";-112,111;112,111
"negro";38,393;-38,393
"chegar";-86,123;86,123
"presença";-0,032;0,032
"honra";-107,068;107,068
"temática";238,985;-238,985
"discriminação";-154,772;154,772
"improcedência";1087,104;-1087,104
"anual";-149,043;149,043
"importância";-117,461;117,461
"propósito";0,194;-0,194
"diploma";-8,335;8,335
"papel";-123,066;123,066
"caracterizar";12,047;-12,047
"vítima";-157,008;157,008
"existente";-77,157;77,157
"postulado";19,004;-19,004
"ilegal";-130,394;130,394
"suspender";222,321;-222,321
"temporário";-145,386;145,386
"cenário";-114,357;114,357
"br";-13,802;13,802
"religioso";-123,85;123,85
"exatamente";-10,801;10,801
"escola";-132,786;132,786
"excluir";-25,155;25,155
"criança";-153,603;153,603
"indireto";-2,209;2,209
"passo";142,256;-142,256
"hoje";-105,138;105,138
"reduzir";-120,492;120,492
"prisional";-129,682;129,682
"aprovar";-122,635;122,635
"igualmente";-13,813;13,813
"conduta";-87,653;87,653
"obstante";-21,771;21,771
"buscar";-58,477;58,477
"alagoas";3,146;-3,146
"ppcdam";-160,959;160,959
"pertinente";-40,294;40,294
"favor";-77,997;77,997
"ad";931,133;-931,133
"aberto";-46,976;46,976
"votação";-97,581;97,581
"precisar";-102,331;102,331
"grifar";62,032;-62,032
"reunião";-141,798;141,798
"histórico";-153,029;153,029
"tudo";-1,764;1,764
"ms";220,914;-220,914
"março";12,403;-12,403
"salário";-78,982;78,982
"assistência";-114,614;114,614
"setor";-136,19;136,19
"pretensão";83,164;-83,164
"infração";-172,538;172,538
"disciplinar";-113,006;113,006
"início";-0,378;0,378
"veicular";53,915;-53,915
"sistemático";-47,279;47,279
"arma";-122,261;122,261
"conflito";-50,547;50,547
"espírito";0,005;-0,005
"doutrina";-28,209;28,209
"zona";-110,191;110,191
"fático";-32,882;32,882
"implementar";-87,986;87,986
"carlos";277,366;-277,366
"apresentado";0,012;-0,012
"amicus";283,552;-283,552
"subjetivo";1,755;-1,755
"logo";10,073;-10,073
"chamado";-85,735;85,735
"associacao";185,214;-185,214
"improcedente";1348,03;-1348,03
"pensar";-27,856;27,856
"peça";3,381;-3,381
"negativo";39,447;-39,447
"impeachment";-53,74;53,74
"sobretudo";-92,542;92,542
"argüição";1881,074;-1881,074
"alcançar";-60,551;60,551
"afronta";-9,664;9,664
"fazenda";-56,701;56,701
"depender";-109,386;109,386
"terceirização";-96,42;96,42
"proporcionalidade";-131,316;131,316
"evidenciar";9,79;-9,79
"continuidade";-10,389;10,389
"preservar";-108,503;108,503
"enfrentamento";-18,72;18,72
"federado";-127,483;127,483
"ameaça";10,415;-10,415
"pertinência";361,534;-361,534
"esfera";-104,546;104,546
"simples";-8,45;8,45
"consagrar";-14,016;14,016
"independentemente";-84,391;84,391
"https";-29,792;29,792
"meta";-143,313;143,313
"contratação";-140,257;140,257
"admissibilidade";912,628;-912,628
"validade";-0,374;0,374
"recente";-23,322;23,322
"principal";-71,464;71,464
"preciso";-87,363;87,363
"instauração";-3,071;3,071
"incidência";-0,132;0,132
"razoável";-64,952;64,952
"virtude";-3,317;3,317
"mundo";-149,633;149,633
"igual";-59,813;59,813
"elaborar";-103,123;103,123
"depois";-58,656;58,656
"penhora";35,48;-35,48
"obra";-116,729;116,729
"filho";-39,46;39,46
"construção";-106,806;106,806
"incompatível";-53,503;53,503
"anteriormente";0,413;-0,413
"milhão";-143,974;143,974
"universitário";-96,583;96,583
"sindical";35,331;-35,331
"ajuizado";1340,469;-1340,469
"eis";13,555;-13,555
"vacina";-129,042;129,042
"recursal";1003,827;-1003,827
"limitar";-51,141;51,141
