"";"V1"
"224";2
"225";2
"226";2
"227";2
"228";2
"229";2
"230";1
"231";2
"232";1
"233";2
"234";1
"235";2
"236";2
"237";1
"238";1
"239";2
"240";1
"241";1
"242";2
"243";2
"244";2
"245";2
"246";2
"247";2
"248";1
"249";2
"250";1
"251";2
"252";2
"253";2
"254";2
"255";2
"256";1
"257";1
"258";1
"259";1
"260";1
"261";1
"262";2
"263";2
"264";1
"265";1
"266";1
"267";1
"268";2
"269";2
"270";2
"271";2
"272";2
"273";2
"274";2
"275";1
"276";2
"277";2
"278";0
"279";2
"280";2
"281";2
"282";2
"283";2
"284";2
"285";2
"286";2
"287";2
"288";2
"289";2
"290";2
"291";2
"292";2
"293";2
"294";2
"295";2
"296";2
"297";2
"298";2
"299";2
"300";2
"301";2
"302";2
"303";2
"304";2
"305";2
"306";2
"307";2
"308";2
"309";2
"310";1
"311";1
"312";1
"313";1
"314";1
"315";1
"316";1
"317";2
"318";2
"319";2
"320";2
"321";2
"322";2
"323";2
"324";1
"325";1
"326";2
"327";2
"328";2
"329";2
"330";2
"331";2
"332";2
"333";2
"334";1
"335";2
"336";1
"337";2
"338";2
"339";2
"340";2
"341";2
"342";2
"343";2
"344";2
"345";2
"346";2
"347";2
"348";2
"349";2
"350";2
"351";2
"352";2
"353";2
"354";2
"355";2
"356";2
"357";2
"358";2
"359";2
"360";2
"361";2
"362";1
"363";1
"364";1
"365";1
"366";1
"367";1
"368";0
"369";1
"370";2
"371";1
"372";2
"373";2
"374";2
"375";2
"376";2
"377";2
"378";2
"379";2
"380";2
"381";2
"382";2
"383";2
"384";2
"385";2
"386";2
"387";1
"388";1
"389";0
"390";2
"391";2
"392";2
"393";2
"394";1
"395";0
"396";1
"397";1
"398";0
"399";1
"400";1
"401";1
"402";0
"403";0
"404";0
"405";2
"406";1
"407";2
"408";2
"409";2
"410";2
"411";2
"412";2
"413";1
"414";1
"415";1
"416";1
"417";0
"418";0
"419";1
"420";2
"421";2
"422";2
"423";1
"424";2
"425";2
"426";2
"427";2
"428";2
"429";2
"430";2
"431";2
"432";2
"433";2
"434";2
"435";2
"436";2
"437";1
"438";2
"439";2
"440";2
"441";2
"442";2
"443";2
"444";2
"445";2
"446";2
"447";2
"448";2
"449";2
"450";1
"451";1
"452";1
"453";1
"454";1
"455";1
"456";1
"457";2
"458";1
"459";1
"460";1
"461";1
"462";2
"463";2
"464";1
"465";1
"466";1
"467";1
"468";1
"469";2
"470";1
"471";2
"472";2
"473";2
"474";2
"475";1
"476";2
"477";2
"478";2
"479";2
"480";2
"481";2
"482";2
"483";2
"484";2
"485";2
"486";2
"487";2
"488";2
"489";2
"490";2
"491";2
"492";2
"493";0
"494";0
"495";2
"496";2
"497";2
"498";2
"499";2
"500";2
"501";2
"502";2
"503";2
"504";2
"505";2
"506";2
"507";2
"508";2
"509";2
"510";2
"511";2
"512";2
"513";2
"514";2
"515";2
"516";2
"517";2
"518";2
"519";2
"520";2
"521";2
"522";2
"523";2
"524";2
"525";2
"526";2
"527";2
"528";2
"529";2
"530";2
"531";2
"532";2
"533";2
"534";2
"535";2
"536";2
"537";2
"538";2
"539";2
"540";2
"541";2
"542";2
"543";2
"544";2
"545";2
"546";2
"547";2
"548";2
"549";2
"550";2
"551";2
"552";2
"553";1
"554";2
"555";2
"556";2
"557";2
"558";2
"559";2
"560";2
"561";2
"562";2
"563";2
"564";2
"565";2
"566";2
"567";2
"568";2
"569";2
"570";2
"571";2
"572";2
"573";2
"574";2
"575";2
"576";2
"577";2
"578";2
"579";2
"580";2
"581";2
"582";2
"583";2
"584";2
"585";2
"586";2
"587";2
"588";2
"589";2
"590";2
"591";2
"592";2
"593";2
"594";2
"595";2
"596";1
"597";1
"598";2
"599";2
"600";2
"601";2
"602";2
"603";1
"604";2
"605";2
"606";2
"607";2
"608";2
"609";1
"610";0
"611";0
"612";2
"613";2
"614";2
"615";2
"616";0
"617";1
"618";1
"619";0
"620";1
"621";1
"622";2
"623";1
"624";2
"625";2
"626";2
"627";2
"628";2
"629";2
"630";1
"631";2
"632";2
"633";1
"634";2
"635";2
"636";2
"637";1
"638";2
"639";2
"640";2
"641";2
"642";1
"643";0
"644";1
"645";1
"646";2
"647";2
"648";2
"649";2
"650";2
"651";2
"652";2
"653";2
"654";2
"655";2
"656";2
"657";2
"658";2
"659";2
"660";2
"661";2
"662";2
"663";2
"664";2
"665";2
"666";2
"667";2
"668";2
"669";2
"670";1
"671";2
"672";1
"673";2
"674";2
"675";2
"676";1
"677";2
"678";2
"679";1
"680";2
"681";2
"682";2
"683";1
"684";1
"685";2
"686";2
"687";2
"688";2
"689";2
"690";2
"691";2
"692";2
"693";2
"694";2
"695";2
"696";2
"697";2
"698";2
"699";2
"700";2
"701";2
"702";2
"703";2
"704";2
"705";2
"706";0
"707";2
"708";2
"709";2
"710";2
"711";2
"712";2
"713";2
"714";2
"715";0
"716";2
"717";2
"718";2
"719";2
"720";2
"721";0
"722";2
"723";2
"724";2
"725";2
"726";2
"727";2
"728";1
"729";1
"730";2
"731";2
"732";2
"733";2
"734";2
"735";2
"736";2
"737";2
"738";2
"739";2
"740";2
"741";2
"742";2
"743";2
"744";2
"745";2
"746";0
"747";2
"748";2
"749";2
"750";2
"751";2
"752";2
"753";2
"754";2
"755";2
"756";2
"757";2
"758";2
"759";2
"760";2
"761";2
"762";2
"763";1
"764";2
"765";2
"766";2
"767";1
"768";1
"769";1
"770";2
"771";2
"772";2
"773";1
"774";0
"775";1
"776";0
"777";1
"778";1
"779";1
"780";1
"781";1
"782";0
"783";0
"784";1
"785";1
"786";1
"787";2
"788";1
"789";1
"790";2
"791";2
"792";2
"793";1
"794";1
"795";2
"796";1
"797";1
"798";1
"799";2
"800";1
"801";2
"802";1
"803";1
"804";1
"805";1
"806";2
"807";1
"808";1
"809";1
"810";1
"811";1
"812";1
"813";1
"814";1
"815";1
"816";2
"817";1
"818";1
"819";1
"820";1
"821";1
"822";0
"823";0
"824";1
"825";0
"826";0
"827";0
"828";0
"829";0
"830";0
"831";0
"832";1
"833";1
"834";1
"835";1
"836";0
"837";0
"838";0
"839";0
"840";0
"841";1
"842";1
"843";1
"844";1
"845";2
"846";2
"847";2
"848";1
"849";2
"850";1
"851";1
"852";1
"853";1
"854";1
"855";2
"856";1
"857";1
"858";1
"859";2
"860";1
"861";1
"862";1
"863";2
"864";1
"865";1
"866";1
"867";1
"868";1
"869";1
"870";1
"871";1
"872";1
"873";0
"874";0
"875";0
"876";0
"877";0
"878";1
"879";0
"880";0
"881";1
"882";2
"883";2
"884";1
"885";2
"886";2
"887";2
"888";2
"889";1
"890";2
"891";1
"892";1
"893";2
"894";2
"895";2
"896";1
"897";2
"898";1
"899";1
"900";1
"901";0
"902";1
"903";1
"904";1
"905";2
"906";2
"907";1
"908";2
"909";2
"910";2
"911";2
"912";1
"913";1
"914";1
"915";2
"916";2
"917";1
"918";2
"919";2
"920";1
"921";2
"922";2
"923";2
"924";2
"925";2
"926";2
"927";2
"928";2
"929";2
"930";2
"931";2
"932";2
"933";2
"934";2
"935";1
"936";2
"937";1
"938";1
"939";2
"940";2
"941";2
"942";2
"943";2
"944";2
"945";2
"946";2
"947";2
"948";2
"949";2
"950";2
"951";2
"952";2
"953";2
"954";2
"955";2
"956";2
"957";2
"958";2
"959";2
"960";2
"961";2
"962";2
"963";2
"964";2
"965";2
"966";2
"967";2
"968";1
"969";1
"970";1
"971";1
"972";1
"973";2
"974";1
"975";1
"976";2
"977";2
"978";2
"979";2
"980";2
"981";2
"982";2
"983";2
"984";2
"985";2
"986";2
"987";2
"988";2
"989";2
"990";2
"991";2
"992";2
"993";2
"994";2
"995";2
"996";1
"997";2
"998";2
"999";2
"1000";1
"1001";0
"1002";1
"1003";1
"1004";0
"1005";0
"1006";0
"1007";1
"1008";2
"1009";2
"1010";1
"1011";2
"1012";1
"1013";2
"1014";2
"1015";2
"1016";2
"1017";1
"1018";2
"1019";2
"1020";2
"1021";1
"1022";1
"1023";2
"1024";1
"1025";1
"1026";2
"1027";1
"1028";1
"1029";0
"1030";0
"1031";1
"1032";2
"1033";2
"1034";2
"1035";1
"1036";2
"1037";2
"1038";2
"1039";2
"1040";2
"1041";2
"1042";2
"1043";1
"1044";2
"1045";1
"1046";1
"1047";1
"1048";2
"1049";1
"1050";1
"1051";2
"1052";2
"1053";2
"1054";2
"1055";2
"1056";2
"1057";1
"1058";1
"1059";1
"1060";1
"1061";1
"1062";1
"1063";1
"1064";1
"1065";1
"1066";1
"1067";2
"1068";1
"1069";2
"1070";2
"1071";1
"1072";2
"1073";2
"1074";2
"1075";2
"1076";1
"1077";2
"1078";2
"1079";1
"1080";2
"1081";2
"1082";2
"1083";2
"1084";2
"1085";2
"1086";1
"1087";2
"1088";1
"1089";1
"1090";1
"1091";1
"1092";2
"1093";2
"1094";1
"1095";2
"1096";2
"1097";1
"1098";1
"1099";1
"1100";1
"1101";1
"1102";2
"1103";2
"1104";2
"1105";2
"1106";1
"1107";2
"1108";2
"1109";2
"1110";2
"1111";2
"1112";2
"1113";2
"1114";2
"1115";2
"1116";1
"1117";2
"1118";2
"1119";2
"1120";1
"1121";2
"1122";1
"1123";1
"1124";2
"1125";1
"1126";2
"1127";2
"1128";2
"1129";2
"1130";2
"1131";2
"1132";2
"1133";2
"1134";1
"1135";2
"1136";2
"1137";2
"1138";2
"1139";2
"1140";2
"1141";2
"1142";1
"1143";1
"1144";1
"1145";1
"1146";1
"1147";2
"1148";2
"1149";2
"1150";2
"1151";2
"1152";2
"1153";2
"1154";1
"1155";2
"1156";2
"1157";2
"1158";2
"1159";2
"1160";2
"1161";2
"1162";2
"1163";2
"1164";2
"1165";2
"1166";2
"1167";1
"1168";1
"1169";1
"1170";2
"1171";1
"1172";2
"1173";2
"1174";1
"1175";1
"1176";2
"1177";1
"1178";2
"1179";1
"1180";1
"1181";1
"1182";2
"1183";1
"1184";0
"1185";1
"1186";0
"1187";0
"1188";0
"1189";0
"1190";0
"1191";0
"1192";0
"1193";0
"1194";0
"1195";0
"1196";0
"1197";0
"1198";0
"1199";0
"1200";0
"1201";0
"1202";0
"1203";0
"1204";0
"1205";0
"1206";0
"1207";0
"1208";0
"1209";2
"1210";1
"1211";2
"1212";2
"1213";2
"1214";2
"1215";2
"1216";2
"1217";2
"1218";2
"1219";2
"1220";2
"1221";2
"1222";1
"1223";2
"1224";2
"1225";1
"1226";2
"1227";2
"1228";2
"1229";2
"1230";2
"1231";2
"1232";2
"1233";2
"1234";2
"1235";2
"1236";1
"1237";2
"1238";2
"1239";2
"1240";2
"1241";1
"1242";2
"1243";2
"1244";2
"1245";2
"1246";2
"1247";2
"1248";2
"1249";2
"1250";2
"1251";2
"1252";2
"1253";2
"1254";2
"1255";2
"1256";2
"1257";1
"1258";1
"1259";0
"1260";0
"1261";0
"1262";0
"1263";0
"1264";0
"1265";0
"1266";0
"1267";0
"1268";0
"1269";0
"1270";0
"1271";0
"1272";0
"1273";0
"1274";0
"1275";0
"1276";0
"1277";0
"1278";0
"1279";0
"1280";0
"1281";0
"1282";0
"1283";0
"1284";0
"1285";1
"1286";2
"1287";1
"1288";2
"1289";2
"1290";2
"1291";2
"1292";2
"1293";2
"1294";2
"1295";2
"1296";2
"1297";2
"1298";2
"1299";2
"1300";1
"1301";2
"1302";2
"1303";2
"1304";2
"1305";2
"1306";2
"1307";2
"1308";2
"1309";2
"1310";2
"1311";2
"1312";2
"1313";2
"1314";2
"1315";2
"1316";1
"1317";2
"1318";2
"1319";2
"1320";2
"1321";2
"1322";2
"1323";2
"1324";2
"1325";2
"1326";2
"1327";2
"1328";2
"1329";2
"1330";2
"1331";2
"1332";2
"1333";2
"1334";2
"1335";2
"1336";2
"1337";2
"1338";2
"1339";2
"1340";2
"1341";2
"1342";2
"1343";2
"1344";2
"1345";2
"1346";2
"1347";2
"1348";2
"1349";2
"1350";2
"1351";2
"1352";2
"1353";2
"1354";2
"1355";1
"1356";1
"1357";2
"1358";2
"1359";2
"1360";2
"1361";2
"1362";2
"1363";2
"1364";2
"1365";2
"1366";2
"1367";2
"1368";2
"1369";2
"1370";2
"1371";2
"1372";2
"1373";2
"1374";2
"1375";2
"1376";2
"1377";0
"1378";2
"1379";2
"1380";2
"1381";1
"1382";2
"1383";1
"1384";1
"1385";2
"1386";2
"1387";1
"1388";1
"1389";2
"1390";2
"1391";2
"1392";2
"1393";2
"1394";1
"1395";1
"1396";2
"1397";2
"1398";2
"1399";1
"1400";1
"1401";2
"1402";2
"1403";2
"1404";1
"1405";2
"1406";2
"1407";2
"1408";2
"1409";2
"1410";1
"1411";2
"1412";2
"1413";2
"1414";2
"1415";2
"1416";2
"1417";1
"1418";2
"1419";1
"1420";1
"1421";1
"1422";1
"1423";2
"1424";1
"1425";1
"1426";2
"1427";1
"1428";0
"1429";2
"1430";0
"1431";2
"1432";1
"1433";1
"1434";1
"1435";2
"1436";2
"1437";2
"1438";1
"1439";1
"1440";2
"1441";2
"1442";2
"1443";2
"1444";1
"1445";2
"1446";1
"1447";2
"1448";2
"1449";2
"1450";2
"1451";2
"1452";2
"1453";2
"1454";2
"1455";2
"1456";2
"1457";1
"1458";2
"1459";2
"1460";2
"1461";2
"1462";1
"1463";2
"1464";2
"1465";2
"1466";2
"1467";2
"1468";2
"1469";2
"1470";2
"1471";2
"1472";2
"1473";2
"1474";2
"1475";2
"1476";2
"1477";2
"1478";2
"1479";2
"1480";2
"1481";2
"1482";2
"1483";2
"1484";2
"1485";2
"1486";2
"1487";2
"1488";2
"1489";2
"1490";2
"1491";2
"1492";2
"1493";2
"1494";2
"1495";2
"1496";2
"1497";2
"1498";2
"1499";2
"1500";2
"1501";2
"1502";2
"1503";2
"1504";2
"1505";2
"1506";2
"1507";2
"1508";2
"1509";2
"1510";2
"1511";2
"1512";2
"1513";2
"1514";2
"1515";2
"1516";2
"1517";2
"1518";2
"1519";2
"1520";2
"1521";2
"1522";2
"1523";2
"1524";2
"1525";2
"1526";2
"1527";2
"1528";2
"1529";2
"1530";2
"1531";2
"1532";2
"1533";1
"1534";2
"1535";2
"1536";2
"1537";2
"1538";2
"1539";2
"1540";2
"1541";2
"1542";2
"1543";2
"1544";2
"1545";2
"1546";2
"1547";2
"1548";1
"1549";2
"1550";2
"1551";2
"1552";2
"1553";2
"1554";2
"1555";2
"1556";2
"1557";2
"1558";2
"1559";2
"1560";2
"1561";2
"1562";2
"1563";2
"1564";2
"1565";2
"1566";2
"1567";2
"1568";2
"1569";2
"1570";2
"1571";1
"1572";2
"1573";2
"1574";2
"1575";2
"1576";2
"1577";2
"1578";2
"1579";2
"1580";2
"1581";2
"1582";2
"1583";2
"1584";2
"1585";2
"1586";2
"1587";2
"1588";2
"1589";2
"1590";2
"1591";2
"1592";0
"1593";2
"1594";1
"1595";2
"1596";2
"1597";2
"1598";2
"1599";2
"1600";2
"1601";2
"1602";2
"1603";2
"1604";2
"1605";2
"1606";2
"1607";2
"1608";2
"1609";2
"1610";2
"1611";2
"1612";2
"1613";2
"1614";2
"1615";2
"1616";2
"1617";2
"1618";2
"1619";2
"1620";2
"1621";2
"1622";2
"1623";2
"1624";2
"1625";2
"1626";2
"1627";2
"1628";2
"1629";2
"1630";2
"1631";2
"1632";1
"1633";2
"1634";2
"1635";2
"1636";2
"1637";2
"1638";2
"1639";2
"1640";2
"1641";2
"1642";2
"1643";2
"1644";2
"1645";2
"1646";2
"1647";2
"1648";1
"1649";2
"1650";2
"1651";2
"1652";2
"1653";2
"1654";2
"1655";2
"1656";2
"1657";2
"1658";2
"1659";2
"1660";2
"1661";2
"1662";2
"1663";2
"1664";2
"1665";2
"1666";2
"1667";2
"1668";2
"1669";2
"1670";2
"1671";2
"1672";2
"1673";2
"1674";2
"1675";2
"1676";2
"1677";1
"1678";1
"1679";2
"1680";2
"1681";2
"1682";2
"1683";2
"1684";2
"1685";2
"1686";2
"1687";2
"1688";2
"1689";2
"1690";2
"1691";2
"1692";2
"1693";2
"1694";2
"1695";2
"1696";2
"1697";2
"1698";2
"1699";2
"1700";2
"1701";1
"1702";1
"1703";2
"1704";2
"1705";2
"1706";2
"1707";2
"1708";2
"1709";2
"1710";2
"1711";2
"1712";2
"1713";2
"1714";2
"1715";2
"1716";1
"1717";0
"1718";0
"1719";0
"1720";0
"1721";0
"1722";0
"1723";0
"1724";0
"1725";0
"1726";0
"1727";0
"1728";0
"1729";0
"1730";0
"1731";0
"1732";0
"1733";0
"1734";1
"1735";1
"1736";2
"1737";2
"1738";2
"1739";2
"1740";2
"1741";2
"1742";2
"1743";2
"1744";2
"1745";2
"1746";2
"1747";2
"1748";0
"1749";0
"1750";0
"1751";0
"1752";1
"1753";0
"1754";2
"1755";2
"1756";2
"1757";2
"1758";1
"1759";2
"1760";2
"1761";1
"1762";1
"1763";1
"1764";1
"1765";2
"1766";2
"1767";2
"1768";2
"1769";2
"1770";2
"1771";2
"1772";2
"1773";2
"1774";2
"1775";2
"1776";2
"1777";2
"1778";2
"1779";2
"1780";2
"1781";2
"1782";2
"1783";2
"1784";2
"1785";2
"1786";2
"1787";2
"1788";2
"1789";2
"1790";2
"1791";2
"1792";2
"1793";2
"1794";2
"1795";2
"1796";2
"1797";2
"1798";2
"1799";2
"1800";2
"1801";2
"1802";2
"1803";2
"1804";2
"1805";2
"1806";2
"1807";2
"1808";2
"1809";2
"1810";2
"1811";2
"1812";2
"1813";2
"1814";2
"1815";2
"1816";2
"1817";2
"1818";2
"1819";2
"1820";2
"1821";2
"1822";2
"1823";2
"1824";2
"1825";2
"1826";2
"1827";2
"1828";2
"1829";2
"1830";2
"1831";2
"1832";2
"1833";2
"1834";2
"1835";2
"1836";2
"1837";2
"1838";2
"1839";2
"1840";2
"1841";2
"1842";2
"1843";2
"1844";2
"1845";2
"1846";2
"1847";2
"1848";2
"1849";2
"1850";2
"1851";2
"1852";2
"1853";2
"1854";2
"1855";2
"1856";2
"1857";2
"1858";2
"1859";2
"1860";2
"1861";1
"1862";1
"1863";1
"1864";2
"1865";2
"1866";2
"1867";2
"1868";2
"1869";2
"1870";2
"1871";2
"1872";2
"1873";2
"1874";2
"1875";2
"1876";2
"1877";2
"1878";2
"1879";2
"1880";2
"1881";2
"1882";2
"1883";2
"1884";2
"1885";2
"1886";2
"1887";2
"1888";2
"1889";2
"1890";2
"1891";2
"1892";2
"1893";2
"1894";2
"1895";2
"1896";2
"1897";2
"1898";2
"1899";2
"1900";2
"1901";2
"1902";2
"1903";2
"1904";2
"1905";2
"1906";1
"1907";2
"1908";2
"1909";2
"1910";2
"1911";2
"1912";2
"1913";2
"1914";2
"1915";2
"1916";2
"1917";2
"1918";2
"1919";2
"1920";2
"1921";2
"1922";2
"1923";2
"1924";2
"1925";2
"1926";2
"1927";2
"1928";2
"1929";2
"1930";2
"1931";2
"1932";2
"1933";1
"1934";2
"1935";2
"1936";2
"1937";2
"1938";2
"1939";2
"1940";2
"1941";2
"1942";2
"1943";2
"1944";2
"1945";1
"1946";2
"1947";2
"1948";2
"1949";2
"1950";1
"1951";2
"1952";2
"1953";2
"1954";2
"1955";2
"1956";2
"1957";1
"1958";2
"1959";2
"1960";2
"1961";2
"1962";1
"1963";2
"1964";1
"1965";2
"1966";2
"1967";2
"1968";2
"1969";2
"1970";2
"1971";2
"1972";2
"1973";2
"1974";2
"1975";1
"1976";2
"1977";2
"1978";1
"1979";2
"1980";2
"1981";2
"1982";2
"1983";2
"1984";2
"1985";2
"1986";2
"1987";2
"1988";2
"1989";1
"1990";2
"1991";2
"1992";2
"1993";2
"1994";2
"1995";2
"1996";2
"1997";2
"1998";2
"1999";1
"2000";2
"2001";2
"2002";2
"2003";2
"2004";2
"2005";2
"2006";2
"2007";2
"2008";2
"2009";2
"2010";2
"2011";2
"2012";2
"2013";2
"2014";1
"2015";2
"2016";2
"2017";2
"2018";2
"2019";2
"2020";2
"2021";2
"2022";2
"2023";2
"2024";2
"2025";2
"2026";2
"2027";2
"2028";2
"2029";2
"2030";2
"2031";2
"2032";2
"2033";2
"2034";2
"2035";2
"2036";2
"2037";2
"2038";1
"2039";2
"2040";1
"2041";1
"2042";2
"2043";2
"2044";1
"2045";2
"2046";2
"2047";1
"2048";1
"2049";1
"2050";2
"2051";2
"2052";2
"2053";2
"2054";2
"2055";2
"2056";2
"2057";2
"2058";2
"2059";2
"2060";2
"2061";2
"2062";2
"2063";1
"2064";1
"2065";2
"2066";2
"2067";2
"2068";2
"2069";2
"2070";2
"2071";2
"2072";2
"2073";2
"2074";2
"2075";2
"2076";2
"2077";2
"2078";2
"2079";2
"2080";2
"2081";2
"2082";2
"2083";2
"2084";2
"2085";2
"2086";2
"2087";2
"2088";2
"2089";2
"2090";2
"2091";2
"2092";2
"2093";2
"2094";2
"2095";2
"2096";2
"2097";2
"2098";2
"2099";2
"2100";2
"2101";2
"2102";2
"2103";2
"2104";2
"2105";2
"2106";2
"2107";2
"2108";2
"2109";2
"2110";2
"2111";2
"2112";2
"2113";2
"2114";2
"2115";2
"2116";2
"2117";2
"2118";2
"2119";2
"2120";2
"2121";2
"2122";2
"2123";2
"2124";2
"2125";2
"2126";2
"2127";2
"2128";1
"2129";2
"2130";2
"2131";2
"2132";2
"2133";2
"2134";2
"2135";2
"2136";2
"2137";2
"2138";2
"2139";2
"2140";2
"2141";2
"2142";2
"2143";2
"2144";2
"2145";2
"2146";2
"2147";2
"2148";2
"2149";1
"2150";2
"2151";2
"2152";2
"2153";2
"2154";2
"2155";2
"2156";2
"2157";2
"2158";2
"2159";2
"2160";2
"2161";2
"2162";2
"2163";2
"2164";2
"2165";2
"2166";2
"2167";2
"2168";2
"2169";2
"2170";2
"2171";2
"2172";2
"2173";2
"2174";2
"2175";2
"2176";2
"2177";2
"2178";2
"2179";2
"2180";2
"2181";2
"2182";2
"2183";2
"2184";2
"2185";2
"2186";2
"2187";2
"2188";2
"2189";2
"2190";2
"2191";2
"2192";2
"2193";2
"2194";2
"2195";2
"2196";2
"2197";2
"2198";2
"2199";2
"2200";1
"2201";2
"2202";2
"2203";2
"2204";2
"2205";2
"2206";2
"2207";2
"2208";2
"2209";2
"2210";2
"2211";2
"2212";2
"2213";2
"2214";2
"2215";2
"2216";2
"2217";2
"2218";2
"2219";2
"2220";2
"2221";2
"2222";2
"2223";2
"2224";2
"2225";2
"2226";2
"2227";2
"2228";2
"2229";2
"2230";2
"2231";2
"2232";2
"2233";2
"2234";2
"2235";2
"2236";2
"2237";2
"2238";2
"2239";2
"2240";2
"2241";2
"2242";2
"2243";2
"2244";2
"2245";2
"2246";2
"2247";2
"2248";2
"2249";2
"2250";2
"2251";2
"2252";2
"2253";2
"2254";2
"2255";2
"2256";2
"2257";2
"2258";2
"2259";2
"2260";2
"2261";2
"2262";2
"2263";2
"2264";2
"2265";2
"2266";2
"2267";2
"2268";2
"2269";2
"2270";2
"2271";2
"2272";2
"2273";2
"2274";2
"2275";2
"2276";2
"2277";2
"2278";2
"2279";2
"2280";2
"2281";2
"2282";2
"2283";2
"2284";2
"2285";2
"2286";2
"2287";2
"2288";2
"2289";2
"2290";2
"2291";2
"2292";2
"2293";2
"2294";2
"2295";2
"2296";2
"2297";2
"2298";2
"2299";2
"2300";2
"2301";2
"2302";2
"2303";2
"2304";2
"2305";2
"2306";2
"2307";1
"2308";2
"2309";2
"2310";2
"2311";2
"2312";2
"2313";2
"2314";2
"2315";2
"2316";2
"2317";2
"2318";2
"2319";2
"2320";2
"2321";2
"2322";2
"2323";2
"2324";2
"2325";2
"2326";2
"2327";2
"2328";2
"2329";2
"2330";2
"2331";2
"2332";2
"2333";2
"2334";2
"2335";2
"2336";2
"2337";2
"2338";2
"2339";2
"2340";2
"2341";2
"2342";2
"2343";2
"2344";2
"2345";2
"2346";2
"2347";2
"2348";2
"2349";2
"2350";2
"2351";2
"2352";2
"2353";2
"2354";2
"2355";2
"2356";2
"2357";2
"2358";1
"2359";2
"2360";2
"2361";2
"2362";2
"2363";2
"2364";2
"2365";2
"2366";2
"2367";2
"2368";2
"2369";2
"2370";2
"2371";2
"2372";2
"2373";2
"2374";2
"2375";2
"2376";2
"2377";2
"2378";2
"2379";2
"2380";2
"2381";2
"2382";2
"2383";2
"2384";2
"2385";2
"2386";2
"2387";2
"2388";2
"2389";2
"2390";2
"2391";2
"2392";2
"2393";2
"2394";2
"2395";2
"2396";2
"2397";2
"2398";2
"2399";2
"2400";2
"2401";2
"2402";2
"2403";2
"2404";1
"2405";2
"2406";2
"2407";2
"2408";2
"2409";2
"2410";2
"2411";2
"2412";2
"2413";2
"2414";2
"2415";2
"2416";2
"2417";2
"2418";2
"2419";2
"2420";2
"2421";2
"2422";2
"2423";1
"2424";2
"2425";2
"2426";2
"2427";2
"2428";2
"2429";0
"2430";0
"2431";0
"2432";2
"2433";1
"2434";2
"2435";0
"2436";2
"2437";2
"2438";2
"2439";2
"2440";2
"2441";2
"2442";2
"2443";1
"2444";2
"2445";2
"2446";2
"2447";2
"2448";2
"2449";2
"2450";2
"2451";2
"2452";2
"2453";2
"2454";2
"2455";2
"2456";2
"2457";2
"2458";2
"2459";2
"2460";2
"2461";2
"2462";2
"2463";2
"2464";2
"2465";2
"2466";2
"2467";2
"2468";2
"2469";2
"2470";2
"2471";2
"2472";2
"2473";2
"2474";0
"2475";0
"2476";0
"2477";0
"2478";2
"2479";2
"2480";2
"2481";2
"2482";2
"2483";2
"2484";2
"2485";2
"2486";2
"2487";2
"2488";2
"2489";2
"2490";2
"2491";2
"2492";0
"2493";2
"2494";2
"2495";2
"2496";2
"2497";2
